x,Fx
1.00094323371284,1e-05
1.00094513009492,2e-05
1.00094750681748,3e-05
1.00098091035675,4e-05
1.00100840194377,5e-05
1.00103024104072,6e-05
1.00103245034255,7e-05
1.0010635835286,8e-05
1.00106665632166,9e-05
1.0010834962047,0.0001
1.00109280946936,0.00011
1.00109362030995,0.00012
1.00114793239856,0.00013
1.00116465977936,0.00014
1.00116508391829,0.00015
1.00116865284808,0.00016
1.0011767299303,0.00017
1.00120066377279,0.00018
1.00120455789392,0.00019
1.00121440079338,0.0002
1.00123820629633,0.00021
1.00126557972818,0.00022
1.00127905466279,0.00023
1.00130009403663,0.00024
1.00134120576517,0.00025
1.00135554299575,0.00026
1.00135575682124,0.00027
1.0013642602412,0.00028
1.00138051596912,0.00029
1.00139040924091,0.0003
1.0013909702436,0.00031
1.00142215999867,0.00032
1.00143899246189,0.00033
1.00144776378224,0.00034
1.00145576867835,0.00035
1.00147309840554,0.00036
1.00150191944308,0.00037
1.00150320683518,0.00038
1.00150451974956,0.00039
1.00151146359723,0.0004
1.0015127167481,0.00041
1.00151629003068,0.00042
1.00152305021776,0.00043
1.00152580815702,0.00044
1.00153018205635,0.00045
1.00153228673492,0.00046
1.00154747652278,0.00047
1.0015488195137,0.00048
1.00154972611445,0.00049
1.00155305383283,0.0005
1.00156842300426,0.00051
1.0015775722377,0.00052
1.00157846928673,0.00053
1.00159365897671,0.00054
1.00159529065948,0.00055
1.00162701651172,0.00056
1.00163000624212,0.00057
1.00163510581577,0.00058
1.00164815924283,0.00059
1.00167519756682,0.0006
1.00168084601935,0.00061
1.00168387145186,0.00062
1.00168937921033,0.00063
1.00169362635088,0.00064
1.00170282816706,0.00065
1.00171338537852,0.00066
1.00171649875157,0.00067
1.0017167555774,0.00068
1.00174115949089,0.00069
1.00176127468215,0.0007
1.00177174589755,0.00071
1.00177546618321,0.00072
1.00177709372671,0.00073
1.00178344378893,0.00074
1.0017849798506,0.00075
1.00181628885141,0.00076
1.00184851162423,0.00077
1.00185010908961,0.00078
1.0018628476753,0.00079
1.00187303176636,0.0008
1.00190386771251,0.00081
1.00191031588662,0.00082
1.00191285186775,0.00083
1.00191370410066,0.00084
1.00191403701993,0.00085
1.00191638783269,0.00086
1.0019221183446,0.00087
1.00192223146788,0.00088
1.00192968957955,0.00089
1.00196209894304,0.0009
1.00198281332672,0.00091
1.00198403541427,0.00092
1.0020050146278,0.00093
1.00201507811097,0.00094
1.00203483935393,0.00095
1.00204225823896,0.00096
1.002045068783,0.00097
1.00205450472546,0.00098
1.00205479864207,0.00099
1.00206195469566,0.001
1.00206383140833,0.00101
1.0020771269577,0.00102
1.00208736536298,0.00103
1.00210663170339,0.00104
1.00210903811995,0.00105
1.00212348820921,0.00106
1.00212934721651,0.00107
1.00213224409353,0.00108
1.00213675501238,0.00109
1.00213973186231,0.0011
1.0021441201946,0.00111
1.00216218096642,0.00112
1.00216382907903,0.00113
1.00216594881261,0.00114
1.00216763167072,0.00115
1.00216828028998,0.00116
1.00217884671328,0.00117
1.00218234208787,0.00118
1.00218577891547,0.00119
1.00218925764814,0.0012
1.00219179396779,0.00121
1.00222566433069,0.00122
1.00222750332236,0.00123
1.00225671130078,0.00124
1.00225760943676,0.00125
1.00225861989588,0.00126
1.00228039121004,0.00127
1.00228125740309,0.00128
1.00228505648129,0.00129
1.00228516554127,0.0013
1.00228710804791,0.00131
1.0023036850744,0.00132
1.0023101506413,0.00133
1.00231116582988,0.00134
1.00231444937706,0.00135
1.00233614043602,0.00136
1.00234280770822,0.00137
1.00237648682812,0.00138
1.00238347550823,0.00139
1.00238567890809,0.0014
1.0024013963663,0.00141
1.00241356642046,0.00142
1.0024282217497,0.00143
1.00243000020086,0.00144
1.00244166493339,0.00145
1.00244819337321,0.00146
1.00248552508173,0.00147
1.0024929845289,0.00148
1.0025539864911,0.00149
1.00255696846223,0.0015
1.00255837732505,0.00151
1.00258196316199,0.00152
1.0025974676252,0.00153
1.00261955208931,0.00154
1.0026264593469,0.00155
1.00267640911115,0.00156
1.00267815545825,0.00157
1.00268375927236,0.00158
1.00268640416219,0.00159
1.00269512563758,0.0016
1.00271461649402,0.00161
1.00271766997666,0.00162
1.00273209012476,0.00163
1.00273616268399,0.00164
1.00274694166892,0.00165
1.00274776387647,0.00166
1.00275310825455,0.00167
1.00277116826433,0.00168
1.00279639392916,0.00169
1.00280068243376,0.0017
1.00281712593758,0.00171
1.00282902843223,0.00172
1.00283607536833,0.00173
1.00283648872807,0.00174
1.00284295772615,0.00175
1.00288050815728,0.00176
1.00293187830919,0.00177
1.00294156450011,0.00178
1.00297705169298,0.00179
1.0029975836598,0.0018
1.00300151382396,0.00181
1.00300507323365,0.00182
1.0030290416471,0.00183
1.00304036616036,0.00184
1.00304975460499,0.00185
1.00305165311604,0.00186
1.00305353993611,0.00187
1.00306260693972,0.00188
1.0030780731894,0.00189
1.00308383254516,0.0019
1.00310125743155,0.00191
1.00312516888937,0.00192
1.00312947127355,0.00193
1.00313250095772,0.00194
1.00313549289797,0.00195
1.00314130890379,0.00196
1.00314731021388,0.00197
1.00314745123538,0.00198
1.00316551809033,0.00199
1.00316905702723,0.002
1.0031745761418,0.00201
1.00318662084147,0.00202
1.00318732023388,0.00203
1.00320575888504,0.00204
1.00321779321143,0.00205
1.00326466270513,0.00206
1.00329147980721,0.00207
1.00330011597815,0.00208
1.0033051731223,0.00209
1.0033440971695,0.0021
1.0033459085894,0.00211
1.00335266762957,0.00212
1.00336419850512,0.00213
1.00341270756381,0.00214
1.00345034714758,0.00215
1.00345320089942,0.00216
1.00347277238092,0.00217
1.00351667316234,0.00218
1.00351949797787,0.00219
1.00354464052176,0.0022
1.00355536780307,0.00221
1.00359833432766,0.00222
1.00361289802367,0.00223
1.00361902544627,0.00224
1.00364393274304,0.00225
1.00365832513084,0.00226
1.00368418270846,0.00227
1.00369381370884,0.00228
1.00372433663091,0.00229
1.00372724976728,0.0023
1.00372877771984,0.00231
1.00373780461338,0.00232
1.00374572475658,0.00233
1.00374588996068,0.00234
1.0037462091201,0.00235
1.00376123618288,0.00236
1.00378948312875,0.00237
1.00380824463,0.00238
1.0038202655814,0.00239
1.00382329223825,0.0024
1.00382957721821,0.00241
1.00384655787741,0.00242
1.00385596928139,0.00243
1.00387062876878,0.00244
1.00389168953609,0.00245
1.00391086900555,0.00246
1.00393244435216,0.00247
1.00396516219901,0.00248
1.00396778930666,0.00249
1.00397022741929,0.0025
1.00397712411121,0.00251
1.0039967070383,0.00252
1.00399812914712,0.00253
1.00400583974217,0.00254
1.0040308882739,0.00255
1.00404015545677,0.00256
1.00405263291043,0.00257
1.00408620625789,0.00258
1.00412041787623,0.00259
1.00412468841981,0.0026
1.00413428608215,0.00261
1.00414124998664,0.00262
1.00414278953291,0.00263
1.00419062975461,0.00264
1.0042039605762,0.00265
1.00420504539004,0.00266
1.00420695358375,0.00267
1.00427559632652,0.00268
1.00429460478819,0.00269
1.00432267425942,0.0027
1.00433096249561,0.00271
1.00434196330095,0.00272
1.00437265309429,0.00273
1.00440790736411,0.00274
1.00441328500752,0.00275
1.00443310318844,0.00276
1.0044394846789,0.00277
1.00444360692889,0.00278
1.00449909291269,0.00279
1.0045228042202,0.0028
1.00452285224296,0.00281
1.00454590557651,0.00282
1.00455805909447,0.00283
1.00456600965645,0.00284
1.00457329088299,0.00285
1.00457336548293,0.00286
1.00457458760193,0.00287
1.00457853502,0.00288
1.00458044020663,0.00289
1.00459241584846,0.0029
1.00459815924159,0.00291
1.00460109205808,0.00292
1.00461213111838,0.00293
1.00461838482361,0.00294
1.00462117420121,0.00295
1.0046237209876,0.00296
1.00463007599797,0.00297
1.00464205951234,0.00298
1.00464596716379,0.00299
1.00465174842618,0.003
1.00467129336651,0.00301
1.00468758179501,0.00302
1.00469274805237,0.00303
1.0047090376479,0.00304
1.00472045838318,0.00305
1.00473690351054,0.00306
1.00474157548252,0.00307
1.00474420783297,0.00308
1.0047477224086,0.00309
1.00475730631066,0.0031
1.00476247108817,0.00311
1.00478915556618,0.00312
1.00479413783617,0.00313
1.00480153320472,0.00314
1.00480949502821,0.00315
1.00481341453704,0.00316
1.00482176498706,0.00317
1.00483991636794,0.00318
1.00484855160964,0.00319
1.00486127542951,0.0032
1.00486736255421,0.00321
1.00489263094842,0.00322
1.00490787065612,0.00323
1.00490882242526,0.00324
1.00491614874793,0.00325
1.00493533972124,0.00326
1.0049408351896,0.00327
1.00495321255996,0.00328
1.00501957537266,0.00329
1.00502473407052,0.0033
1.00502943648026,0.00331
1.00503510255545,0.00332
1.00503808667366,0.00333
1.00505234056022,0.00334
1.00505461940992,0.00335
1.00507143927994,0.00336
1.00509161175553,0.00337
1.00510709116011,0.00338
1.00512512695974,0.00339
1.00514022216465,0.0034
1.00514097033264,0.00341
1.00516028122943,0.00342
1.00517877068917,0.00343
1.00519751142648,0.00344
1.0052067993949,0.00345
1.00521030239389,0.00346
1.00522077617334,0.00347
1.00522929704152,0.00348
1.00524509400396,0.00349
1.00524899916041,0.0035
1.00529548522368,0.00351
1.00530129617097,0.00352
1.00530801064069,0.00353
1.00531402202848,0.00354
1.00534045617382,0.00355
1.00535758708254,0.00356
1.00536618296092,0.00357
1.00542692241226,0.00358
1.00544188668577,0.00359
1.00547273291568,0.0036
1.00548042918347,0.00361
1.00548174351996,0.00362
1.00552699339397,0.00363
1.00553210056546,0.00364
1.00555698032186,0.00365
1.00557859821626,0.00366
1.00559147255811,0.00367
1.00560055921684,0.00368
1.00561129592955,0.00369
1.00562063160693,0.0037
1.00566149765759,0.00371
1.00567593286008,0.00372
1.00568153574368,0.00373
1.00571364108538,0.00374
1.00573797926703,0.00375
1.00577146269407,0.00376
1.00577286535344,0.00377
1.00578206233294,0.00378
1.00580313736728,0.00379
1.0058136007761,0.0038
1.00582090158084,0.00381
1.00591828129281,0.00382
1.00597419326464,0.00383
1.00598563173986,0.00384
1.00602935894115,0.00385
1.0060309455359,0.00386
1.00604416041694,0.00387
1.0060448467298,0.00388
1.00606578379031,0.00389
1.00610954524172,0.0039
1.0061153466424,0.00391
1.00611628509069,0.00392
1.00613246793384,0.00393
1.00615425004538,0.00394
1.00615636230266,0.00395
1.00616735567874,0.00396
1.0061801128936,0.00397
1.00622874301759,0.00398
1.00623215593064,0.00399
1.0062532593157,0.004
1.00627473323108,0.00401
1.00628671334324,0.00402
1.0062965547218,0.00403
1.00630112978748,0.00404
1.0063022689731,0.00405
1.00631025915718,0.00406
1.0063655270336,0.00407
1.00637916424098,0.00408
1.00641435559451,0.00409
1.00641747543142,0.0041
1.00642024938,0.00411
1.00642502045986,0.00412
1.00644485949873,0.00413
1.0064681987948,0.00414
1.00646896256023,0.00415
1.00647150806654,0.00416
1.00651462862654,0.00417
1.00658964454008,0.00418
1.00660257632553,0.00419
1.00660265315061,0.0042
1.00664827726129,0.00421
1.00665198038251,0.00422
1.00667617933514,0.00423
1.00670421720821,0.00424
1.00672073166142,0.00425
1.00672772120724,0.00426
1.00673327556806,0.00427
1.00677030506817,0.00428
1.00677044838447,0.00429
1.00677816198472,0.0043
1.00678094391405,0.00431
1.00678730414053,0.00432
1.00679583574138,0.00433
1.00680314740091,0.00434
1.00681898576167,0.00435
1.00685610022506,0.00436
1.00688951775142,0.00437
1.00690023858146,0.00438
1.00691457611249,0.00439
1.00694240433421,0.0044
1.00695332519207,0.00441
1.00699212577324,0.00442
1.00701866894696,0.00443
1.00701943483994,0.00444
1.00704133473378,0.00445
1.00705421619823,0.00446
1.00708476824176,0.00447
1.00709977520779,0.00448
1.00710687236083,0.00449
1.00713367396315,0.0045
1.0071370013789,0.00451
1.00717955009159,0.00452
