x,FittedCDF
0.05,0
0.0503338898163606,0.00776321962000926
0.0506677796327212,0.0131440321464522
0.0510016694490818,0.0178855285957283
0.0513355592654424,0.0222543724799019
0.051669449081803,0.0263655016707939
0.0520033388981636,0.0302822764684664
0.0523372287145242,0.0340444810107625
0.0526711185308848,0.0376792363983905
0.0530050083472454,0.0412061166380135
0.053338898163606,0.0446398554312497
0.0536727879799666,0.0479919075199694
0.0540066777963272,0.0512714099113431
0.0543405676126878,0.0544858046124329
0.0546744574290484,0.0576412590030798
0.055008347245409,0.0607429593848262
0.0553422370617696,0.0637953218787883
0.0556761268781302,0.0668021476561141
0.0560100166944908,0.0697667396043424
0.0563439065108514,0.0726919916192965
0.056677796327212,0.0755804580472019
0.0570116861435726,0.0784344084605452
0.0573455759599332,0.0812558714152783
0.0576794657762938,0.0840466698053131
0.0580133555926544,0.0868084497225414
0.058347245409015,0.0895427042358758
0.0586811352253756,0.0922507931509836
0.0590150250417362,0.0949339595582934
0.0593489148580968,0.097593343790724
0.0596828046744574,0.100229995274465
0.060016694490818,0.102844882652417
0.0603505843071786,0.105438902481151
0.0606844741235392,0.108012886741836
0.0610183639398998,0.110567609358827
0.0613522537562604,0.113103791883059
0.061686143572621,0.115622108468638
0.0620200333889816,0.118123190248164
0.0623539232053422,0.120607629194098
0.0626878130217028,0.123075981538769
0.0630217028380634,0.125528770813748
0.063355592654424,0.127966490559598
0.0636894824707847,0.130389606749083
0.0640233722871452,0.132798559960376
0.0643572621035058,0.135193767331393
0.0646911519198664,0.137575624321849
0.065025041736227,0.1399445063059
0.0653589315525877,0.142300770015053
0.0656928213689482,0.144644754848362
0.0660267111853089,0.146976784064677
0.0663606010016695,0.149297165869795
0.0666944908180301,0.151606194409738
0.0670283806343906,0.153904150679956
0.0673622704507513,0.156191303359107
0.0676961602671119,0.15846790957497
0.0680300500834725,0.160734215609208
0.0683639398998331,0.162990457546895
0.0686978297161937,0.165236861876066
0.0690317195325543,0.167473646041953
0.0693656093489149,0.169701018960062
0.0696994991652755,0.171919181491821
0.0700333889816361,0.17412832688609
0.0703672787979967,0.176328641189533
0.0707011686143573,0.178520303628514
0.0710350584307179,0.180703486964915
0.0713689482470785,0.18287835782805
0.0717028380634391,0.18504507702462
0.0720367278797997,0.187203799828486
0.0723706176961603,0.189354676251855
0.0727045075125209,0.191497851299329
0.0730383973288815,0.193633465206137
0.0733722871452421,0.195761653661751
0.0737061769616027,0.197882548019978
0.0740400667779633,0.19999627549652
0.0743739565943239,0.202102959354925
0.0747078464106845,0.20420271908174
0.0750417362270451,0.206295670551659
0.0753756260434057,0.208381926183328
0.0757095158597663,0.210461595086488
0.0760434056761269,0.212534783201015
0.0763772954924875,0.214601593428416
0.0767111853088481,0.216662125756275
0.0770450751252087,0.218716477376116
0.0773789649415693,0.220764742795098
0.0777128547579299,0.222807013941947
0.0780467445742905,0.224843380267485
0.0783806343906511,0.226873928840081
0.0787145242070117,0.228898744436357
0.0790484140233723,0.230917909627426
0.0793823038397329,0.232931504860925
0.0797161936560935,0.234939608539108
0.0800500834724541,0.236942297093218
0.0803839732888147,0.238939645054364
0.0807178631051753,0.240931725121095
0.0810517529215359,0.242918608223864
