Model,Parameter,BestCDF,Mean,Std,CoV,Lower,Upper,Param1,Param2,Gamma,KS_distance,RMSE_CDF
fib,tc,Bounded power,1.82923802357816,0.577808625741512,0.315873942206419,1,3,1,3,0.720928095438502,0.0278332637580694,0.0172731855951466
fib,pSR,Bounded power,0.135587588345341,0.0584053400787135,0.430757274994489,0.05,0.25,0.05,0.25,0.759680906998383,0.02913,0.0081438512004447
Malami,tc,Bounded power,1.89994798043518,0.564921738069169,0.297335371224098,1,3,1,3,0.831989876286524,0.0217902524481838,0.0156962180914758
Malami,pSR,Bounded power,0.133727734271521,0.0575974834935832,0.430707091594306,0.05,0.25,0.05,0.25,0.739463024429509,0.04064,0.0135601399013299
