W_C,tc,bc,CO2ppm,RH,tw,bw,pSR,T_K,theta_xc
0.630873153932646,1.8880729211305,-0.565091072741754,394.687726912411,74.8418798465302,0.183304394808992,0.724702512393416,0.0600992559949306,282.981153931867,1.1844198810606
0.546883124902227,1.9583003744319,-0.576400937873114,396.436723753594,72.7153148815572,0.165135104306712,0.694746926700267,0.101018094728859,283.235480240385,1.32840867357774
0.643493768968208,2.85838686676054,-0.582324964921398,391.56491053554,76.2452366610591,0.133864962045713,0.679414882010632,0.0979257052781049,283.572525143894,1.1672014789756
0.618073536693088,1.69772497489481,-0.580177300611342,390.810138438037,73.0550057552941,0.130331519377983,0.546375379912279,0.0531440551957755,283.265425898226,1.27580070069088
0.643914570816613,2.12292969365511,-0.561520618221382,395.921475366837,76.3260863934896,0.144227917186568,0.734895190514353,0.0858489488153582,283.132438266194,1.23270113097023
0.621875730306129,1.12927710784951,-0.506056109244639,390.385438924156,76.4778281541729,0.16049217874837,0.486921178519766,0.0815829259955599,283.042135238936,1.12839675326529
0.642541370065442,2.79266685323169,-0.546316110124441,389.4324507149,74.6009260011657,0.133639952914427,0.617518634729877,0.0861658979013542,284.416793785541,1.30432516139247
0.683677607065388,2.35716075966998,-0.561428119430049,395.727818303653,75.6061638394172,0.16518144546823,0.664820350489659,0.0815331059654185,282.969188065912,1.15056289547527
0.602086220355893,1.94167637498267,-0.547065305716349,389.916791843979,76.4605678283061,0.122363019754336,0.631930047858544,0.0628648722157008,283.827959301754,1.4552139327436
0.647813830355589,1.79471007854222,-0.566172760310756,393.994156103041,71.391775349411,0.157952539423779,0.597690889659497,0.0845547403337068,283.323127709032,1.0859495077335
0.610559861070355,2.04866862655153,-0.548729442763413,388.528679089564,76.2053374688295,0.107429169181151,0.652514638258195,0.0714930554355731,283.715747856156,1.30888459245846
0.565421612274969,1.38382268149104,-0.543835532383611,393.322653225941,74.6974069666174,0.142030501087566,0.801753818710022,0.0897988448065937,283.12426339481,1.16287663823361
0.591211687835171,2.58520500718841,-0.542346289616876,391.565254773721,72.1468072600593,0.136646226324091,0.699720242670976,0.0743089582598644,283.46460953236,1.47473275882144
0.66352640613979,1.14185952104113,-0.573855346637828,391.559194673609,75.1077705152609,0.131159327944513,0.702551273237039,0.102835317618587,283.53126753798,1.02444002267031
0.606476857665502,1.70959461963567,-0.52975462701695,391.124229797137,70.7986131592692,0.138728311788603,0.599277165290071,0.0553990026636609,283.010604556539,1.30228315425686
0.634290605827192,1.40356493330309,-0.555664152281796,395.506557151527,75.3090664949764,0.145513778956232,0.762309795089516,0.158697593965729,283.526236449335,1.12635397079025
0.647493518489899,2.79187650754491,-0.584010809643174,397.984292512124,76.8229269240556,0.166502830407132,0.762779168935296,0.124342112902569,283.169072213013,1.24501765686022
0.659222952835108,1.82225153087914,-0.565864630393005,391.915274795195,76.3325640781329,0.139502847984166,0.742561364678625,0.106495897861585,283.656121438187,1.33332924387294
0.589176959308746,2.69315603752418,-0.544203673488509,391.589758517533,72.2158771800682,0.138959619960319,0.701171297881983,0.0635736774059261,283.577475329949,1.43630615982316
0.617852405117771,1.76863722161692,-0.553156196946286,393.351957813387,75.434608869928,0.130028114941784,0.533873168273388,0.0478339897988987,283.142821700567,1.35087997143233
0.69725749602442,1.25393990372832,-0.545632577146641,389.908437193351,75.5494529558166,0.136094596186224,0.563225610655726,0.0730212911975644,283.005440353671,1.04628804280124
0.696548570836641,1.07614217478004,-0.543001825544306,392.393572043,80.9044054065511,0.131854894730303,0.846999067346991,0.101515600652668,283.375936457574,1.12216834488475
0.655321277191067,2.58144065404385,-0.576918526523602,389.028211646193,74.6298721465416,0.118872970726562,0.651803492021044,0.11999465772601,283.750529475894,1.2774126093999
0.582240622613665,2.40779127696437,-0.533156104015592,392.788507170522,74.6787706075236,0.126067279261857,0.696301892583713,0.0789535334245909,284.143811920239,1.29537028603683
0.646092653639776,2.0725528523909,-0.56648629758937,395.36274003933,75.3405474243654,0.167558918595816,0.714965414116568,0.0732570282377331,282.815920149135,1.11337094096898
0.621162496221512,2.1177465691663,-0.556902935282793,394.630872866194,74.8880376368152,0.140064246308664,0.721087278950979,0.0995837913329876,282.748625654827,1.32811942932426
0.57889200904598,2.36691989439785,-0.604981417000617,392.865241421238,74.9358103074516,0.159335424671304,0.6364700072689,0.0551969688761083,282.838198073141,1.20485658959044
0.590603464975328,1.01434918118631,-0.54568073684039,394.340496382086,76.5043994531357,0.173686609059839,0.679374704032822,0.156007211118377,283.698074954109,1.41203022596025
0.587003440514659,1.66391132662541,-0.555761185617882,391.774291339545,76.2434368324477,0.134844190389279,0.720873557330124,0.0523200266734873,283.704218500845,1.35456167808784
0.695565536789568,2.08437864109118,-0.566702366308847,394.324549047655,74.7415598421585,0.162586434672441,0.724429183560896,0.0716896098922647,282.993165041509,1.08107944636554
0.632874291647588,1.03648162043072,-0.534320366500277,388.449912536695,77.2120732184731,0.155304604121378,0.554633515939733,0.0466009103731208,283.178505479648,1.19952901178452
0.602987616341649,1.47662589332239,-0.567730099509584,392.093669847724,72.8868322331241,0.173864887284049,0.751682301424509,0.0941114814510484,283.567945886103,1.16759063569706
0.664024213742308,2.28175395780055,-0.563102031358646,396.761963987651,74.4498453630859,0.158313243494924,0.744393190124621,0.101315994561602,282.807833470776,1.16353552066581
0.636455690684373,1.06468271602493,-0.547315169688819,388.348993508561,76.2686344504162,0.134867430483719,0.727655848879001,0.0475770941291061,283.497966308126,1.14009942631163
0.582006158226402,2.36531192935568,-0.542766807648979,389.8232794934,75.6893185162517,0.128286679478239,0.655163308164584,0.0857014300346799,283.986110118008,1.4813916284573
0.643677064314718,1.1397529084535,-0.559083843093455,389.296088411372,75.7673820361601,0.133418399140282,0.470249065329047,0.0503415613917202,283.376412764855,1.25278918275099
0.661497692728923,1.09074831118166,-0.554943545128239,388.058931362209,71.9578260128909,0.142305109108566,0.60198048952282,0.0559533049483376,283.252540936398,0.941842775068853
0.678338169586926,2.45860400364006,-0.556562878992861,395.913496331581,75.3544650744976,0.163815109569808,0.700510400801952,0.0759774029142917,282.941673781487,1.14949270480922
0.650924139144446,1.75845796272512,-0.555844430850867,390.878758785645,76.9040890230533,0.144199772516251,0.708903687522495,0.125513298738655,283.440567822599,1.14816254643879
0.633520798453402,1.7574305096458,-0.551094159577281,394.119257148956,75.5766451691038,0.148234983521456,0.466385786792161,0.0866479532307042,283.923222282373,1.53046463311452
0.680729687369929,1.39282191018097,-0.582924180978846,392.070682651863,77.0176476472485,0.14164858860878,0.507666924268859,0.0777501992517267,283.335466543216,0.906514074836815
0.596608543368428,1.15009202899273,-0.519508723416494,390.812304654053,75.3660090735076,0.155500782291404,0.503990797216715,0.0542027294508426,283.131617641967,1.10353457145769
0.601845531504041,1.19699836162988,-0.511537435589891,390.047779330415,76.5795630536605,0.149491330577959,0.58077938668927,0.0700640287508258,283.112351271032,1.30873301863484
0.612246256538797,1.17466417857354,-0.517690388639651,391.17568023916,75.4453754407105,0.162357271436539,0.492567074948788,0.0562886819992165,283.13230239296,1.10227939516437
0.614114368667392,1.05699521542887,-0.561485030651349,389.796601164001,74.3834675354966,0.121953592645197,0.70249105721815,0.0487956866287402,283.381830379599,1.16937841670285
0.626762603187121,1.0130433656691,-0.563840223800729,394.041607843338,77.2537795499642,0.170072237103722,0.76111463237724,0.211969043715572,283.499005370639,1.17531800584953
0.705618234900804,2.7921915075578,-0.571536246848771,391.462750246724,74.0185564976833,0.125611018563306,0.626473120868406,0.104588903517473,283.890947972029,1.14830255574873
0.601747592692446,1.01056500388755,-0.534410070632872,394.795600685258,75.7859995175162,0.175415793813629,0.687194828315989,0.165716884818373,283.648573398745,1.40369805033917
0.55269413113865,1.75954909336115,-0.556023464429631,394.317991288093,75.0865613623725,0.128107376680933,0.663422326834813,0.0756048626433006,282.787098388706,1.33754425641368
0.707641647608737,1.44567617807192,-0.587505686490855,393.251075020049,77.2397719710353,0.145873631022756,0.595068317319315,0.105932885134336,283.765896854157,1.4025357221229
0.583234805324065,1.18757635861256,-0.553952690933742,393.658928526794,77.3453681966485,0.121798945599012,0.845139147170915,0.108810004811024,283.257859226397,0.785812509321183
0.614834451176075,1.03588681806171,-0.568280926828575,394.60003569983,77.4559954447072,0.167666291559993,0.681555535696729,0.1900399475662,283.447998320925,1.13749089451156
0.626493807179847,1.58257739185238,-0.591134363951291,391.049103177293,75.2294361860883,0.13733262950329,0.729774930477586,0.110894533223418,283.523771008391,1.0732466752604
0.648101860128569,1.21043646521591,-0.570987088334266,392.078761697787,75.9713096060508,0.145245215153833,0.649017767094554,0.0872670705753942,283.862060028807,1.09336149429213
0.646146158497655,2.81185636498199,-0.580548112714655,394.366846673365,73.6815111660696,0.153191976184625,0.871715031633471,0.112704564518687,282.994277862705,1.1180625958721
0.562522366646266,1.66606205007801,-0.558504449615751,391.786573002376,75.2062461322685,0.150436611407029,0.99025591480771,0.0604371990390035,283.122622595288,1.30900132273396
0.621674012402489,1.05810319855046,-0.559300250868482,391.78372387152,74.9434572542938,0.142340734227009,0.757015097057678,0.054845214785584,283.329951677784,0.985227904658331
0.620297851540831,2.53265734590478,-0.579727719129368,393.661239004597,74.5646151187946,0.164230922516608,0.914234284361225,0.0959506938419802,283.141761719197,0.995099105377273
0.614202616554901,1.10660570812312,-0.594821583863621,391.966322052027,78.7794177631993,0.129488257695639,0.79655810785446,0.156420286070658,283.3364286886,1.34663354984246
0.65678520882866,2.71141026688172,-0.571108793806354,388.978475985211,74.0024302996176,0.141118310758553,0.765273472251451,0.0801802392025707,283.999750949458,1.20308163556835
0.653723207440198,1.71536561842676,-0.549701889513154,393.013178591711,75.8101228249088,0.149990346818294,0.480027704986713,0.0736685002478475,283.914923547661,1.34946466359703
0.651700343901271,1.96773604052231,-0.526271376204342,391.654571072465,70.6719092365572,0.127204030384074,0.616008619490143,0.0471058906905841,282.96604003277,1.30443721286185
0.64310111116311,1.11712851351571,-0.556966393981359,388.977144343908,73.3361545374348,0.14319714919246,0.6449495545563,0.0538452220225999,283.240931295406,0.856086198629779
0.673576319436495,2.88818448702097,-0.55512915810882,390.68542206612,76.3046221962693,0.141916902038961,0.50034734114286,0.127879496048155,283.877596469517,1.24862956730874
0.57371284398685,1.73789066322196,-0.541203844578029,389.444687608662,76.01874839318,0.115750844609148,0.732632527978413,0.0703351785964981,283.728357745144,1.37616310316218
0.702497253183216,1.51484928725174,-0.591489332950167,393.752216007249,77.6153975620524,0.137639390179247,0.608671804961354,0.101631540601866,283.762108588299,1.34846288386318
0.523463376042249,1.59192122701397,-0.564871210798335,394.614095996367,69.7505320629689,0.141685129419491,0.69723591903661,0.0655394819683899,282.948119708485,1.34375719451838
0.59418067037776,1.16872517121373,-0.531590933191626,390.100193714386,75.0026492932157,0.147945288968528,0.615459326096713,0.0678846416718891,283.026054306335,1.16574151227662
0.537945823395471,1.49327810980057,-0.585149076404115,395.567683902039,73.2785059481132,0.188816039095774,0.762288176376893,0.0582968675869839,282.734346249598,1.32043678353503
0.625669771577173,2.89688906422637,-0.588244911118974,397.768988647553,76.2230889633876,0.164170574972423,0.802122194087014,0.109255287046537,283.400178969994,1.34683305765519
0.708102848043817,1.46664770371264,-0.537475466927187,393.730049459126,79.9337299688691,0.138500347059909,0.463715164172319,0.0717797535562235,283.606303588205,1.27225853051113
0.677901247783966,1.85844699475248,-0.561140372103347,392.642546654279,77.4435341097322,0.142133839865274,0.539022850226508,0.0736672017153742,283.615680213802,1.24359532865344
0.548350712966268,2.41376191156356,-0.535297545562719,393.438126996814,74.4635579812274,0.125327978633341,0.653945799976682,0.0945344644466134,283.814175402533,1.46553651587782
0.667792825939122,1.75129031259148,-0.567406804826705,392.420650921541,73.8099408882914,0.117075423838776,0.73439491972792,0.105859908502961,282.747966664228,1.07198552901892
0.640041889964501,1.10153656333288,-0.558448510866489,388.399300218738,73.2606111554461,0.14365882428729,0.580683445034947,0.0496564843864911,283.106354647011,0.967281859085359
0.657176408183312,1.07843470601494,-0.557160112475072,388.697028154388,77.982781797725,0.147993735982799,0.512588743252303,0.0476169666206328,283.260459277586,1.30708300110492
0.619644546392396,1.19373078058739,-0.596566898366339,393.035877471019,79.2965104112357,0.124842665441822,0.716874605247557,0.141158310772929,283.454912063063,1.10934119283737
0.631260138839733,1.92433066705038,-0.553673858584927,390.136405143671,76.2948342260737,0.136047441938859,0.626809372403312,0.107152567464385,283.611021046397,1.29692991482273
0.658851181579403,2.10238370012799,-0.524598104171849,392.232290204888,70.9248464126396,0.126151790965812,0.604130929337989,0.0473786025438218,283.003710467183,1.28551432742041
