Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,T_K
1.08471599741197e-10,1.58967746589388,1.05048206792426e-11,1.186475142813,-0.595061351813036,391.82959406839,72.0198972610294,0.151465519924927,0.281457603780146,0.0671994366267289,1.61839574459573,283.25
1.14742631022671e-10,0.992411879601703,1.01975021315876e-11,1.11910476202147,-0.610214728776408,391.195518111272,73.9474419284467,0.156999843749641,0.605847411485345,0.100144938185805,1.29457486660072,283.25
1.23475135328927e-10,1.23844428246274,9.9851253203697e-12,1.20634026779093,-0.56073546228689,396.7982091136,74.696828413376,0.142682339648963,0.876111502924047,0.231767347368781,1.35704232466193,283.25
1.67634680491233e-10,1.30729748770819,1.2085256084929e-11,1.26268975737263,-0.565037601019211,395.327414328022,75.4958995880399,0.17911235392724,0.521925557721317,0.1993458913615,1.3636488604332,283.25
1.75338111881048e-10,1.28634973104076,1.10125375008749e-11,1.00408723153065,-0.588946010220966,398.582729300466,78.2896510419042,0.155480961583978,0.683333788957312,0.167145849823334,1.38215820802606,283.25
1.2504615660561e-10,1.00307819319158,1.00614928113504e-11,1.12569008827414,-0.608369533895171,391.153249349379,74.1642181970202,0.154708282450655,0.607206513675726,0.103747839274482,1.30310608307215,283.25
2.39060911769727e-10,1.06689354896585,1.00680778433734e-11,1.00539516766846,-0.571511062406225,393.495502685156,73.7554434222624,0.152985587129774,0.667299808305008,0.205257767068657,1.19778513144079,283.25
1.81020393374131e-10,1.06914907492726,8.16636836384083e-12,1.11628937527891,-0.587620328765501,390.855902958021,76.1324726064038,0.155041129937703,0.613851413185304,0.203693224337201,1.4434410489851,283.25
3.18570499512135e-10,1.18400697849418,9.83150151661573e-12,1.01494677235532,-0.581690396443248,393.235380584128,76.2642214362584,0.143360339368917,0.407276332985836,0.160218605390537,1.42485815565568,283.25
2.23867602761413e-10,1.24285735278328,1.11922219870826e-11,2.67720721150616,-0.567085650496384,392.094253354536,72.8101220348354,0.116645017276439,0.717143460961177,0.0742257651835962,1.29584406271202,283.25
1.19044997811236e-10,1.2308178629551,1.21219436200814e-11,1.28675492398442,-0.592648190672635,391.564258400314,73.0506585927531,0.129561722391115,0.496048637999916,0.132492401338414,1.40200240180204,283.25
1.88539010580092e-10,1.22834242159234,1.03592338538578e-11,2.49661451010718,-0.56002297447735,393.364643265916,71.4170777300272,0.125122944604677,0.738800850872239,0.0535670334665884,1.32947329994202,283.25
9.05361634455061e-11,1.4432279285804,8.07981269381218e-12,1.0020436975915,-0.570078631456685,397.686723320521,77.3311525974592,0.149355906298352,0.639083405908657,0.19913855030709,1.31828185699782,283.25
1.42747800995797e-10,0.994935585390366,1.05915650483817e-11,1.13478809504346,-0.590115237115264,387.148635524897,72.4658632301397,0.146314706103972,0.816368459871251,0.21973256329947,1.33718467553816,283.25
2.41892136113518e-10,1.24928676468809,9.09560249216006e-12,1.00118669792809,-0.590075999924752,393.895379504096,75.1831532155168,0.163103289636085,0.677438464165478,0.204491947974533,1.0022173795598,283.25
1.9662962463613e-10,1.55530459240849,1.04426934082565e-11,1.34885572039538,-0.582188467273068,388.240584903067,70.1067575531819,0.149004813683593,0.521783237856976,0.0948849655706307,1.01889680406095,283.25
1.38752600001257e-10,1.49181546069757,1.0818348236944e-11,1.31668688658633,-0.587933510044492,394.856015597714,73.7248263491975,0.173783223587873,0.626846794445367,0.216064194959377,1.27464723977091,283.25
1.37941067765505e-10,0.983199710032991,8.52651065291629e-12,1.23815245233561,-0.580040238133475,391.223755546249,74.7142731164293,0.179361790491873,0.679111076547966,0.156191235030966,1.44302058850024,283.25
1.11762661310315e-10,1.29172028173791,9.6796648974916e-12,1.09689469487267,-0.596714244797385,395.069518114391,76.532304853713,0.15734838786271,0.772872635075549,0.236746943594907,1.46065450976763,283.25
2.02493312673142e-10,1.47704936936357,1.21801696227315e-11,1.00262519276978,-0.574232274398533,398.174509883744,77.447832980277,0.147228844397291,0.44198711461725,0.0772465919696708,1.37429632685194,283.25
1.70264426463544e-10,1.87650319287513,8.51563554722738e-12,2.24744933934959,-0.547076121993632,391.178125340777,72.8334972423186,0.170280894893701,0.68701241011923,0.0586629859357633,1.29796359115611,283.25
1.78420013018448e-10,1.62223286952664,1.16080368467066e-11,1.02624677566308,-0.586293011628826,394.577246819764,78.4267914054299,0.151576026768888,0.499787948149449,0.102131244506432,1.33191051969367,283.25
1.57405007459724e-10,1.40961193641948,9.76852048447154e-12,1.33998064169738,-0.581744208844372,397.667678075787,72.0796243193078,0.159648433856384,0.894058198181471,0.241494983692338,1.20079637991219,283.25
1.62515541857e-10,1.31295080324972,1.17796808499875e-11,1.17226448969131,-0.56966626682901,392.693787245929,75.7375153080854,0.16644099997597,0.808111348377873,0.162676452363465,1.36398917998502,283.25
1.13417899079664e-10,1.2753002911801,9.70748464655103e-12,1.07985808975809,-0.595959866230011,395.030744701131,76.2393150232841,0.159269323334086,0.742437280633654,0.237236280385226,1.42686698932368,283.25
1.29171382042107e-10,1.09514675453681,1.03492759306948e-11,1.19837841304481,-0.560298703560352,389.99662304018,74.5213270902266,0.168246688866705,0.428478504213175,0.0814026180128053,1.62498279515574,283.25
1.42249141762389e-10,1.36146549348364,1.06223909185037e-11,1.54186288710827,-0.606972386299145,389.760731360273,76.1347878107916,0.154303444792639,0.629252041596493,0.182429329741728,1.44430809824523,283.25
1.96731614547676e-10,1.17930525515561,1.01462278969829e-11,1.07098694561494,-0.590054597059592,390.870890099839,74.7719018152574,0.148584102923711,0.755389955091864,0.185135958970159,1.06746559567155,283.25
