W_C,tc,bc,CO2ppm,RH,tw,bw,pSR,T,theta_xc,A,n
0.592864812732112,2.13669160167133,-0.572584702582899,387.773333696579,69.0331924575867,0.166365152602921,0.51611444576789,0.1631761173631,282.853900390534,0.881885871683755,0.24540607189083,0.0777301905609226
0.591891960446693,2.25960422137219,-0.571956776139479,387.370387778567,69.0791793186249,0.167205644937388,0.516465085376039,0.16351235640581,282.870740972309,0.833453690353271,0.240642688669167,0.0779170612361557
0.580439928561379,2.1530582427001,-0.568635557488345,387.714766953571,68.9707317576855,0.165916403961013,0.535673745421592,0.161781515829261,282.888870993261,0.848058751495214,0.23145637652523,0.0719994500250514
0.580964409503898,2.16678633546777,-0.573195313460709,387.846417263034,68.7728678393646,0.165533078914392,0.541293371095493,0.158931088222279,282.812769403526,0.848038361185088,0.230888791062213,0.0697874243644874
0.59243142684976,2.04641651118613,-0.571977225908667,387.666138403271,68.8852080812317,0.167834410832838,0.548032906078682,0.165045536019408,282.777531585446,0.868077132425133,0.242120885256537,0.0700487545429312
0.5876284437555,2.03049011490392,-0.570983760719373,387.126761082853,68.8540425752527,0.170182999304681,0.535891599969698,0.172567753186936,282.752903764836,0.869602900646394,0.243440579686258,0.0754948845179743
0.58399313353473,2.00896965759657,-0.573103934536952,387.019109365017,69.0015642682911,0.170221433179695,0.525880197122499,0.179269687473537,282.847488090248,0.866248891935448,0.245065085737123,0.0798012444269759
0.585023777575224,2.00336115622789,-0.572376395146025,387.216649781624,68.9224375157862,0.177315619414778,0.524100032528194,0.169339522870658,282.840759850387,0.88204862652226,0.246113798533632,0.0796215258017733
0.588151588181736,2.06868182541656,-0.573664472295052,387.010009587582,68.7857678021021,0.179031233535624,0.520558688938683,0.164038512769928,282.851003937784,0.909018179998757,0.246873904549681,0.0796909178620883
0.592484191363517,2.16316346652593,-0.571946315278385,387.142275796738,68.4261312344506,0.178968621902947,0.516483905037208,0.156806398429177,282.953643489314,0.925622069125452,0.24773359627684,0.0789695456869735
0.590988295258086,2.23064962426999,-0.573296417287557,387.329673759237,68.6980150983737,0.175403859331913,0.496535113044316,0.149109538123626,282.934668842443,0.97948044529381,0.246026274054695,0.0818889529852916
0.605500684200044,2.28165169504172,-0.575993607905899,388.356949934401,69.2749860072927,0.1757892827006,0.469139506856469,0.153044037307216,282.925319138274,0.998813020913359,0.261173745170731,0.091691965601515
0.591309516973377,2.27725786296119,-0.576417996146661,388.837203776915,69.2742193645791,0.174642299085577,0.471280358290502,0.145606388423052,282.943518224512,0.995383439797776,0.248892140205646,0.0885999127229341
0.59078571516631,2.32800472550542,-0.576540820207767,388.576725905865,69.1595505290557,0.17582384900783,0.482318469476027,0.154323002031809,282.901931554127,0.928873172268961,0.24656151145417,0.0877853804416456
0.574690121301583,2.32237334670736,-0.573219671068212,388.659226702289,69.6084348473427,0.172063243378599,0.491645825926833,0.137376797162012,282.784093110769,0.932732488564197,0.226182479828894,0.0793154817778164
0.5690154836004,2.28435471602884,-0.571526649696118,389.424228267615,69.5267156851226,0.169227199555715,0.475580270116427,0.144232719608989,282.787504071545,0.962241530228652,0.228289425353914,0.0855289163463592
0.561759561736417,2.32446354106304,-0.575970078976385,389.168271561604,69.1161702497372,0.168613805695081,0.476990666834979,0.149262019922013,282.749997929907,1.00102231216937,0.224472088905946,0.0863349766571941
0.559700853281554,2.25948682218333,-0.575780964837376,388.946469529926,69.2933138459363,0.172262464921283,0.451588382882922,0.138928387193857,282.666603660241,0.931032889883852,0.228570650080033,0.0926695277098326
0.567872366971322,2.26260446371739,-0.573126633216781,389.443220641438,69.3831022642127,0.176222054593426,0.447483412713886,0.137166139951416,282.689043250573,0.879160003239346,0.235537953590437,0.0945206681336467
0.556255015701897,2.25358743672604,-0.572335577718592,389.066957786882,69.485128066986,0.172429062775982,0.418147454142871,0.135624766031754,282.702429976051,0.881845388079321,0.233744608385641,0.103980135125902
0.552068384992019,2.22868604040391,-0.575585329197838,388.770200580221,69.684232996335,0.169993929818115,0.428148047427145,0.134431121933826,282.74021254586,0.881377449061027,0.227175317556138,0.0991631865323187
0.545401508088373,2.1269196222486,-0.575792834561958,388.774829947667,69.3398760348492,0.164514904496902,0.405237766413142,0.133433879665029,282.730189323643,0.858318155276135,0.231869134361463,0.106382836072888
0.554755371493135,1.9063860862504,-0.579283653892631,388.660840233474,69.9714835732998,0.166613714770118,0.378699823520973,0.152384187137431,282.782404757429,0.845157978354565,0.260218819501603,0.124397452623413
0.567317307456297,1.9386556296324,-0.580321147869183,388.696907869462,70.1588024450417,0.171850952881002,0.360664490511943,0.158023417560433,282.796817736576,0.84548615406668,0.279907467551494,0.136183267482404
0.566586276440479,1.85347614352783,-0.574114043831026,388.887265897789,70.3099361278821,0.167994568238072,0.347959601504494,0.159738325441371,282.77347356669,0.833385240741955,0.286437781287467,0.141978506073627
0.560777667524915,1.87936463401631,-0.574920130721519,388.735371616414,70.3445140234524,0.165395622254639,0.35423619896789,0.163874527576279,282.645807299528,0.856693606207329,0.276963281626989,0.139281823127675
0.563858555692478,2.02193157113363,-0.577686116797321,388.973656107878,70.6412224319202,0.169589846409903,0.357040010688014,0.171657192311892,282.65151733358,0.856657052803957,0.27494715579588,0.141442079061582
0.574589342957178,1.97620144233147,-0.57755270669224,388.438923764822,70.9547420976454,0.169453637837775,0.352645971140894,0.184261940763037,282.559097884373,0.858402818028899,0.289561428274318,0.147250489579461
0.572276312121473,1.95356955596004,-0.576715192872906,388.686703474321,71.0304224601765,0.169614978471441,0.397242929262927,0.193667313564342,282.540151738532,0.877475630564262,0.270663204810871,0.128726592756529
0.569561617788726,2.0322683007211,-0.574729339316432,389.041897796306,70.6201655929568,0.165218513874145,0.419545017638607,0.197461782236016,282.579610073341,0.843196452567535,0.258799504529915,0.118941622221712
0.563780870592397,2.20271546063936,-0.572746173571806,388.838594410238,70.5019718217205,0.164935041755633,0.423691512411598,0.197708596187263,282.56107203982,0.843725179170076,0.247008712988532,0.117242248684128
0.564541274287385,2.31015132350737,-0.571185981455577,389.175051761584,70.3459865232197,0.164657885529525,0.460450572206073,0.192703843678341,282.549560416296,0.833277745925495,0.232777198731963,0.102087448348794
0.558466915314002,2.24758874792895,-0.568918412917544,389.46419595675,70.5013192720252,0.163916908639661,0.479999483728017,0.18631017121783,282.600980868658,0.8042956648329,0.222953514299791,0.0936922654373643
0.562525621711081,2.26588092870624,-0.569422894784373,389.467465310557,70.3562456790786,0.167503528102669,0.47819414978856,0.177237941691032,282.598649131035,0.777780982198534,0.225581813600447,0.0930180027226745
0.557417952135105,2.27637439406179,-0.569075300904316,389.147411033442,70.6128751176644,0.162968255552194,0.487812101407118,0.172508813375057,282.660874871368,0.764606638255722,0.216540463712537,0.0875652177158016
0.543885002099231,2.16966300477633,-0.568718702696042,389.737047478843,70.8021746728406,0.163868977740733,0.52472241015513,0.174795542072833,282.65434780442,0.766235957779695,0.20202298871536,0.0775063961498321
0.533468255429067,2.14044712068435,-0.571453246849617,389.541757538101,70.4442026623943,0.166125603952135,0.50615766653268,0.175146009591926,282.692815402841,0.81673329200146,0.200927484180958,0.0834505558332854
0.538498731824173,2.24331073840934,-0.570821323777064,389.761562369435,71.0736930363059,0.166445655199,0.50023665155355,0.179379499413814,282.698834515421,0.818287688838038,0.201435648135319,0.0863240399034329
0.530745846331989,2.05469702690095,-0.567798680687293,389.777983004117,71.1025476980814,0.164377863861251,0.489097920973521,0.182428481240383,282.701959242689,0.791119826713701,0.202677213656296,0.0899585726866249
0.529784132021042,2.16471619571911,-0.570117696289118,389.554024990962,70.7541848172748,0.163767757126419,0.505675678650468,0.16907122571925,282.619267028921,0.766611136570699,0.194780200927754,0.0815226033704469
0.548680110943895,2.10371130097807,-0.569902886600697,389.091838608878,70.6150218172953,0.168785656078623,0.52992955095949,0.152436637457519,282.615369724963,0.754059563427198,0.204006926749315,0.0718798535337476
0.551663356094569,2.18879295218738,-0.565545856040706,389.290687924019,70.33735261546,0.16772958259747,0.571815547151615,0.144453848646405,282.699927105431,0.745056439830975,0.196397033920925,0.0595812762526264
