Model,Param,Mean,Std,COV,Median,P2p5,P97p5,AccRate
fib,A,2.65481002358525,0.47946986613921,0.18060420967211,2.60712729314378,1.84630780658863,3.73685304417741,0.156309090909091
fib,n,0.0532232207389468,0.0291893611040648,0.548432821216044,0.0468924099417109,0.0148246102492876,0.12663191981964,0.156309090909091
fib,\theta_{x_c},1.07451574422242,0.180412149570566,0.167900889810714,1.05724999834406,0.764951609780017,1.47530007949906,0.156309090909091
Malami,A,2.67098972544633,0.469021713871799,0.175598471758787,2.62433817054279,1.87973272125109,3.71965304449883,0.155463636363636
Malami,n,0.0521968687433922,0.0276063891226746,0.528889755023271,0.0468711775086951,0.0140485674383598,0.118930994692368,0.155463636363636
Malami,\theta_{x_c},1.06329733285082,0.178675365728513,0.168038948474991,1.04782441200551,0.756946752367762,1.44960485495856,0.155463636363636
