Model,Parameter,Mean,Std,COV,Median,P2p5,P97p5,AccRate
fib,Racc_inv,1.18120128367788e-10,3.88076551387618e-11,0.328543963463427,1.11269174003879e-10,6.00945812215968e-11,2.11507717091917e-10,0.858622727272727
fib,kt,1.3395599672565,0.270716996624453,0.202093973574694,1.3114217509468,0.900413510649937,1.96955430503606,0.858622727272727
fib,eps_t,9.94651497735202e-12,1.49302284642169e-12,0.150105122228366,9.88936457479158e-12,7.12205104005678e-12,1.29245206738214e-11,0.858622727272727
fib,tc,1.73183071437479,0.515978329212068,0.297938086516927,1.66658206779838,1.00994172444787,2.79558760945114,0.858622727272727
fib,bc,-0.568139009997075,0.0238403832270985,0.0419622360154802,-0.567399955003056,-0.615025413217353,-0.524337224384461,0.858622727272727
fib,CO2ppm,391.745132683561,3.26966025261708,0.0083463966232816,391.729008649529,385.414975462716,398.260505440032,0.858622727272727
fib,RH,74.7761978914102,2.5203947506692,0.0337058425239715,74.7968571160394,69.741023216641,79.6817218733634,0.858622727272727
fib,tw,0.154639205820871,0.0190598255326632,0.123253514084529,0.155126672698382,0.116074009549505,0.19020788236968,0.858622727272727
fib,bw,0.543857682958699,0.133269555678933,0.2450449076198,0.53526338314092,0.30157897898541,0.834077483515097,0.858622727272727
fib,pSR,0.13372513761103,0.0540053042945789,0.403853047073808,0.129520074324951,0.0511522691990617,0.235760125681198,0.858622727272727
fib,theta_xc,1.1201949822995,0.154752113840277,0.138147479934794,1.11849774283911,0.821684473176104,1.43285372924125,0.858622727272727
fib,A_derived,2.6218726921756,0.443024442187763,0.168972522392056,2.57171501468865,1.90639964648741,3.63028024291876,NaN
fib,n_derived,0.0669827983038713,0.0351596786570421,0.524906088538407,0.0607144480448794,0.0161077105341982,0.150960275530577,NaN
fib,xc_at_obs,14.5064863388947,0.997210199712034,0.0687423664432318,14.4999197462103,12.5585774429048,16.4684990577053,NaN
malami,W_C,0.574420834828616,0.0472044453842952,0.082177460360363,0.572514010557315,0.486854994729799,0.669102986886428,0.852704545454545
malami,tc,1.96333187223958,0.603106383253046,0.307185143673688,1.90565713089197,1.05330742198648,2.94331281950366,0.852704545454545
malami,bc,-0.570291196737004,0.0211267197060782,0.0370454950505243,-0.57074161494906,-0.611402509635206,-0.528930018979246,0.852704545454545
malami,CO2ppm,391.8597398345,3.36606880249965,0.00858998376286701,391.928581714921,385.416675462611,398.310705200257,0.852704545454545
malami,RH,74.9059660286818,2.31850972496496,0.0309522705317918,74.9378760107608,70.4832636363168,79.3531951675981,0.852704545454545
malami,tw,0.15460355530192,0.018448346703959,0.119326794703601,0.154830132999502,0.116960994935225,0.192497873337019,0.852704545454545
malami,bw,0.556531911119547,0.115120346507323,0.206853091812366,0.548503934773419,0.355309036365423,0.807485881056294,0.852704545454545
malami,pSR,0.126573491747434,0.0588139498702434,0.464662458610223,0.113704167659489,0.048778305402431,0.244395604024375,0.852704545454545
malami,T,283.298604407914,0.592231417927288,0.00209048477017751,283.314822086241,282.091743590369,284.417574734173,0.852704545454545
malami,theta_xc,1.05955918830178,0.153113138192173,0.144506451251276,1.05529647177507,0.774445243683887,1.38075590905618,0.852704545454545
malami,A_derived,0.203249049230537,0.0472569501470927,0.232507607420545,0.19669647270011,0.129623206144824,0.313444097214151,NaN
malami,n_derived,0.0591373995958233,0.0261505408388063,0.442199708095607,0.0564151223811986,0.0177273935163462,0.117421352530352,NaN
malami,xc_at_obs,14.5730977769278,0.976987666569616,0.0670404934849463,14.5717408022968,12.6436643682435,16.4774362533975,NaN
