Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,A,n
6.50223107776231e-11,1.36214772870657,9.57598608078164e-12,1.03308267105814,-0.538522048524821,391.341065315142,75.759587887281,0.174981103014634,0.545328587905785,0.0712112159927821,1.34824918759722,2.2205864015672,0.0457523364568503
6.53868540313617e-11,1.41301803080995,9.44111917795844e-12,1.03044398372903,-0.540404207780465,390.524328820787,75.7702000021517,0.176481975773741,0.538599003034888,0.0704187091797306,1.34257177019073,2.26453798457234,0.0470554039086847
6.54576495922805e-11,1.40181007705328,9.32864630789708e-12,1.02342992355145,-0.54291848137172,390.178124935068,75.8614167719769,0.179811738100065,0.541064963060955,0.0712809611676696,1.3727544869235,2.25917587996444,0.0473328144581851
5.76601819273816e-11,1.41536183994496,9.4570486478512e-12,1.03146833886149,-0.541694827112013,390.238544013816,75.9212858422303,0.181027708119621,0.529510085892317,0.0686787946918574,1.35652120717193,2.1338470425082,0.0489806329463659
6.0366274566374e-11,1.38938451046562,9.81245927259787e-12,1.03299022480886,-0.541038908337443,390.24549982128,75.1277367376415,0.183696951050262,0.57022941859582,0.0627116684209351,1.26175264561864,2.20885226993691,0.039224005202011
5.82398803270713e-11,1.37248938126881,1.02464700090915e-11,1.02879193961277,-0.537808430167304,390.675587390657,75.6393850486342,0.181378498818407,0.54627290787012,0.0623367121847664,1.2227400065277,2.13467892184648,0.0432072630132277
5.84244058323141e-11,1.42218602019707,1.02327998195125e-11,1.0265231936064,-0.539422704068584,390.283758496819,75.7310120778309,0.178046294926961,0.540318828225324,0.0603435284270197,1.22542866503785,2.16969721682558,0.0431688669678395
6.35218091928385e-11,1.36423080956524,1.04425704745183e-11,1.02997008641787,-0.536865294576221,390.096330074762,75.8819033190699,0.179642622068378,0.540594743247524,0.0582073202652746,1.20095123011541,2.19609317801395,0.0424874849130085
5.56565403857867e-11,1.39571134371778,1.02184385549086e-11,1.02413439517021,-0.541186820263195,389.173493627042,76.01425762923,0.180424816944482,0.546191465934548,0.0591009895516458,1.06494705360169,2.0911395291877,0.0418620905497292
5.33012783201679e-11,1.38801881088366,1.04600227882734e-11,1.0213600818434,-0.542395978741032,389.452245388172,75.8208277538976,0.175482960848197,0.584692945010635,0.0611175258865627,1.08563976879664,2.06531096593243,0.0352662433521237
5.77786619787381e-11,1.45193352504229,1.05173852106364e-11,1.02277589235358,-0.541801270151232,389.704258342346,75.6640670114289,0.176752083369507,0.549061922344971,0.0622639828070395,1.09959706758374,2.19180683002654,0.042042441226711
5.52641016725598e-11,1.4982777999141,1.02861023422161e-11,1.01468067617483,-0.545912524717173,389.399699189335,75.0185687240786,0.175684690414737,0.534117090251769,0.0639381698343246,1.11088622552016,2.22683221201721,0.0454679732178653
5.69632336154352e-11,1.54870297425255,1.04918439006192e-11,1.01762133526094,-0.548222101709018,389.485988579158,75.423937838923,0.176700027675317,0.521620229253508,0.0603762806580035,1.0971637940148,2.27225634858341,0.0468153877956195
5.08362735699774e-11,1.49345141069521,1.03840209715528e-11,1.01820083901542,-0.543780714029878,388.527507709848,75.0136702925955,0.173389116798666,0.492303896928669,0.0576512014247158,1.04144591124666,2.13563687718355,0.051793900199873
5.562824797453e-11,1.58563417557338,1.01912728954668e-11,1.01635892398569,-0.543264012799683,388.535532285522,74.6557107718707,0.174390741279114,0.514147414283784,0.0567640236353497,1.03777164047484,2.30135415397761,0.0466027105170316
5.1450048554977e-11,1.53017996295288,1.01087483744023e-11,1.010015758726,-0.542451020722793,388.152582060068,74.5010172135289,0.176478556593498,0.537915372508348,0.056233606310576,1.01344616909129,2.19613423906872,0.0418174569603301
5.40000494743713e-11,1.48501241992031,1.01983601908621e-11,1.00861296679919,-0.543609571667716,388.425645425506,74.3392443751235,0.178395113471333,0.550855290271961,0.0560880359247678,0.938390788163399,2.22828179800328,0.0395729925126233
5.17474007938208e-11,1.44404772823886,1.0123909824871e-11,1.00707150803127,-0.546506927146018,388.447957008422,74.1484352314065,0.175930776448352,0.532889550884809,0.057869134036273,0.976013657639834,2.17611548659593,0.0433851870576456
5.80856016382245e-11,1.4674866716091,1.02579648621697e-11,1.00888093883009,-0.54459491164087,388.591111900443,74.0534659376609,0.174546537164283,0.517445741888434,0.0577475102427973,0.967083470573038,2.30896438018356,0.0463298467190391
5.7438861611694e-11,1.46826880577291,1.04229291353956e-11,1.00648413357182,-0.546116219508912,388.379093531185,74.0677675940289,0.172776475635536,0.536366272149304,0.057290111599304,0.941353097942099,2.30347272605685,0.0420589366941293
5.34094310518434e-11,1.3945039012381,1.00351253121801e-11,1.00837917106284,-0.546131828242428,388.328049008435,74.5739623829277,0.173449381423274,0.552570300907719,0.0608646188674438,0.910106544719957,2.14720405028997,0.0404422785019294
5.08054636805179e-11,1.35125686005401,9.85896319908784e-12,1.00833417069195,-0.542836415257879,388.057422390742,74.6825635895124,0.172894833542197,0.531542677988152,0.0607817530644357,0.92798630793247,2.05658949418961,0.044395829732609
5.44885738574043e-11,1.3873875255609,1.00167252115343e-11,1.00874952677097,-0.537644446310617,387.527121208067,75.0103506285775,0.176202118346373,0.538803679133885,0.0628259038702388,0.911024497453756,2.11727230630033,0.0441723758576112
