x,Fx
0.99970114737078,1e-05
0.999704955931787,2e-05
0.999810556248909,3e-05
0.999882939504906,4e-05
0.99993321944022,5e-05
0.999935718515024,6e-05
0.9999517591942,7e-05
1.00000057988528,8e-05
1.00024473577979,9e-05
1.00030921949831,0.0001
1.00032839738692,0.00011
1.00047271761033,0.00012
1.00056213469665,0.00013
1.00057908186187,0.00014
1.00058977608433,0.00015
1.0005923536618,0.00016
1.0005960304598,0.00017
1.00059899668539,0.00018
1.00061183525251,0.00019
1.00067733631125,0.0002
1.00068042935949,0.00021
1.00070290101315,0.00022
1.00070877174511,0.00023
1.00082733453609,0.00024
1.00090916804681,0.00025
1.00092742923415,0.00026
1.0009343468403,0.00027
1.00095582899026,0.00028
1.00096657462429,0.00029
1.00097237752797,0.0003
1.00098187802772,0.00031
1.00100673594123,0.00032
1.00101652954805,0.00033
1.00103563852678,0.00034
1.00106199486887,0.00035
1.00109088923557,0.00036
1.00109180684203,0.00037
1.00109559627514,0.00038
1.00113011989909,0.00039
1.00114297669135,0.0004
1.00116556270084,0.00041
1.00116898044116,0.00042
1.00118226796136,0.00043
1.0011854760628,0.00044
1.00118669792809,0.00045
1.00120362257155,0.00046
1.00121765030343,0.00047
1.00122315545998,0.00048
1.00123590990165,0.00049
1.00124175110078,0.0005
1.00124339987252,0.00051
1.00127089390493,0.00052
1.00128071356432,0.00053
1.00129176505839,0.00054
1.00129673507042,0.00055
1.00134641593076,0.00056
1.00138536019667,0.00057
1.00139092826377,0.00058
1.00146357048204,0.00059
1.00148151417605,0.0006
1.00148925471753,0.00061
1.0015064965447,0.00062
1.00153112534968,0.00063
1.00153199765802,0.00064
1.00156535057166,0.00065
1.00158616534114,0.00066
1.0016037626061,0.00067
1.0016150641845,0.00068
1.00161920853621,0.00069
1.00162016693989,0.0007
1.00164068948601,0.00071
1.00164843654571,0.00072
1.00166192600461,0.00073
1.00171099952914,0.00074
1.00172539424737,0.00075
1.00174031604358,0.00076
1.00174053885768,0.00077
1.00174241153032,0.00078
1.00175461997411,0.00079
1.00177867483072,0.0008
1.00178130929299,0.00081
1.0017886151293,0.00082
1.00180881845908,0.00083
1.00181314886624,0.00084
1.00182592804452,0.00085
1.00184575432506,0.00086
1.00186618909393,0.00087
1.0018972531209,0.00088
1.00190250361945,0.00089
1.00195463731129,0.0009
1.00196417163635,0.00091
1.00201128860521,0.00092
1.00201930490539,0.00093
1.0020436975915,0.00094
1.00205334407281,0.00095
1.0020638202491,0.00096
1.00207182829308,0.00097
1.0020756226986,0.00098
1.00211323030743,0.00099
1.00212367577432,0.001
1.00212576675414,0.00101
1.00213020470423,0.00102
1.00213178375695,0.00103
1.00215859860654,0.00104
1.00218122136236,0.00105
1.00219102210544,0.00106
1.00221771514916,0.00107
1.00222734429196,0.00108
1.00222736619464,0.00109
1.00222755666674,0.0011
1.00222759894292,0.00111
1.00224624647867,0.00112
1.00226145736633,0.00113
1.00227123542505,0.00114
1.00227589741421,0.00115
1.0022810857111,0.00116
1.00228651894873,0.00117
1.00229445159961,0.00118
1.00229470025466,0.00119
1.0022966854297,0.0012
1.00229937239944,0.00121
1.00230126866658,0.00122
1.00230346418597,0.00123
1.00230370225052,0.00124
1.00230436291531,0.00125
1.00231057101202,0.00126
1.00231551213734,0.00127
1.00231640878181,0.00128
1.0023168516653,0.00129
1.002317875087,0.0013
1.00231865355124,0.00131
1.00233630931434,0.00132
1.00233634722697,0.00133
1.00233682327204,0.00134
1.00235639009052,0.00135
1.00235935529812,0.00136
1.00236055367477,0.00137
1.00236634953259,0.00138
1.0023717128693,0.00139
1.0023797501849,0.0014
1.00239168356179,0.00141
1.00239277070653,0.00142
1.00239452202755,0.00143
1.00242703606602,0.00144
1.00243856243743,0.00145
1.00244497773231,0.00146
1.00245188503701,0.00147
1.00246156148771,0.00148
1.00248085157707,0.00149
