t_years,pf_fib_caseI_mcs,beta_fib_caseI_mcs,beta_fib_caseI_form,pf_fib_caseII_mcs,beta_fib_caseII_mcs,beta_fib_caseII_form,pf_malami_caseI_mcs,beta_malami_caseI_mcs,beta_malami_caseI_form,pf_malami_caseII_mcs,beta_malami_caseII_mcs,beta_malami_caseII_form
24.5,0.0162433333333333,2.13837072333128,1.94640682299027,0.0695266666666667,1.47932552777643,1.35009537390482,0.0185966666666667,2.08363552174514,1.82100660186526,0.0825133333333333,1.388362574466,1.21511330857251
25.5,0.01901,2.07463905113078,1.88913749280197,0.07511,1.43875482437639,1.30986976603517,0.0219266666666667,2.01548999495166,1.75605248067606,0.0890633333333333,1.34654546975502,1.17389011439382
26.5,0.0216433333333333,2.02093333407691,1.834322965337,0.0808433333333333,1.39942135531837,1.27127318048623,0.0256833333333333,1.948403790198,1.69438667715266,0.0954933333333333,1.30766586325379,1.13441941570587
27.5,0.0244,1.97033490997019,1.78177547343248,0.08671,1.36129652729837,1.23418310431163,0.0295066666666667,1.88809399167805,1.63572421291632,0.10224,1.26889083937458,1.09656694966262
28.5,0.0275966666666667,1.91735116933661,1.73132758545442,0.0924366666666667,1.32589845952051,1.19849025721356,0.0337766666666667,1.82797480285875,1.5798140692384,0.109123333333333,1.23120375686486,1.06021314376902
29.5,0.03082,1.86887648909973,1.68282938469248,0.0981566666666667,1.29212651943072,1.16409675814228,0.0383566666666667,1.77008289036586,1.52643416230057,0.116033333333333,1.19505212145094,1.02525105791893
30.5,0.0341666666666667,1.82280233916635,1.63614612761405,0.104293333333333,1.25746123765246,1.13091459770174,0.04306,1.71622975088775,1.47538719411617,0.12275,1.16134900042391,0.991584674040572
31.5,0.0378133333333333,1.77664500072804,1.5911562734239,0.110406666666667,1.22436827031642,1.09886436048753,0.0479933333333333,1.66462964756237,1.42649721391984,0.129583333333333,1.12836295352357,0.959127464146611
32.5,0.0414033333333333,1.73462828226733,1.54891692879784,0.11662,1.19205418423068,1.06787414187538,0.0530033333333333,1.61640551547142,1.37960673540623,0.13618,1.09764393524581,0.927801188189034
33.5,0.0454933333333333,1.69021585245169,1.50582693965519,0.12268,1.16169346786047,1.03787863523246,0.0582166666666667,1.56992167924703,1.33457432248753,0.142986666666667,1.06699668400056,0.897534869036803
34.5,0.0497966666666667,1.64682834557897,1.46529669435778,0.128756666666667,1.13228809549705,1.00881835085409,0.0635966666666667,1.52526371855551,1.29127253981086,0.149573333333333,1.03826506847677,0.868263927658184
35.5,0.0540633333333333,1.60667050693449,1.42607609638416,0.134696666666667,1.10446072086688,0.980638947437033,0.0695033333333333,1.47950024219153,1.24958622222128,0.156273333333333,1.00989277059737,0.839929439275868
36.5,0.05836,1.56869081430151,1.38808917978871,0.140646666666667,1.07741852142486,0.953290656718692,0.07535,1.43706332844095,1.20941098660505,0.162946666666667,0.982419276958344,0.812477495011864
37.5,0.06283,1.53144277180172,1.35126624595253,0.146796666666667,1.05027143735939,0.926727786141472,0.0812,1.39704513108939,1.17065196522801,0.169843333333333,0.95478454094441,0.785858650881416
38.5,0.0674566666666667,1.49500424861675,1.31554320268094,0.152783333333333,1.0245688544565,0.900908287194887,0.0873533333333333,1.3572346423867,1.13322271466077,0.176653333333333,0.928194539030105,0.760027449613367
39.5,0.07221,1.45952741767358,1.28086098172188,0.15891,0.998947756543237,0.87579337930758,0.0936233333333333,1.3187680560118,1.09704426536784,0.183296666666667,0.90287294081076,0.734942007724896
40.5,0.0770233333333333,1.4253824903839,1.24716503669298,0.16497,0.974234738371236,0.851347220936638,0.0999133333333333,1.28204555375078,1.06204430737722,0.19018,0.877233175481384,0.710563648080333
41.5,0.0819766666666667,1.39189784893881,1.21440489848842,0.17122,0.949355175457511,0.827536620930027,0.106196666666667,1.24701135702036,1.02815647540388,0.197026666666667,0.852289678411413,0.686856585219577
42.5,0.08698,1.35958906640112,1.18253378452141,0.177443333333333,0.925152347695542,0.80433078439393,0.11299,1.21077930162747,0.995319730421333,0.203583333333333,0.828889978432963,0.6637876445748
43.5,0.0921566666666667,1.32759077620117,1.15150825349057,0.183466666666667,0.902232576202612,0.781701088237385,0.119396666666667,1.17800820967591,0.963477808882983,0.210166666666667,0.805843082257482,0.641326015675746
44.5,0.0975933333333333,1.29538727170381,1.12128789944585,0.18948,0.879814146169605,0.759620882336249,0.126326666666667,1.14392839663998,0.932578749088356,0.21678,0.783114290582421,0.619443033767446
45.5,0.10278,1.26586896265152,1.09183507990126,0.195333333333333,0.858408987312426,0.738065312890627,0.132966666666667,1.11247648928251,0.902574468534421,0.223053333333333,0.761921819164198,0.598111986011407
46.5,0.108283333333333,1.235709226637,1.06311467282643,0.201253333333333,0.837152832051733,0.717011165072544,0.139793333333333,1.08124832578839,0.873420391031754,0.22928,0.741220096857546,0.577307939029283
47.5,0.113863333333333,1.20623558514094,1.03509386323181,0.207356666666667,0.815627295142586,0.696436721898876,0.146686666666667,1.05075020021291,0.845075121662762,0.235656666666667,0.720343816082372,0.557007585034661
48.5,0.11958,1.1770889626861,1.00774194432563,0.213186666666667,0.795412943222202,0.676321640919414,0.153613333333333,1.02105861975513,0.817500147580168,0.24195,0.700043722209831,0.537189104204192
49.5,0.125176666666667,1.14949158824265,0.981030146996287,0.21914,0.775100967414024,0.656646837313585,0.160413333333333,0.992760534831562,0.790659583415167,0.24816,0.680291350782698,0.517832041277532
50.5,0.130913333333333,1.12208413987414,0.954931482174039,0.224776666666667,0.756159897555355,0.63739438515108,0.167476666666667,0.964184700749815,0.764519938002002,0.254393333333333,0.660728151594732,0.498917194659882
51.5,0.136676666666667,1.09537282765876,0.929420599073371,0.230536666666667,0.737080604380214,0.618547425077275,0.174426666666667,0.936815767309855,0.739049907343951,0.260486666666667,0.641845762096571,0.480426516539815
52.5,0.142616666666667,1.06863685839223,0.904473659755087,0.236183333333333,0.718633662512644,0.600090081607479,0.181206666666667,0.910776146321124,0.714220189225379,0.26662,0.623067752192071,0.462343022737202
53.5,0.14841,1.04327704367854,0.880068219516033,0.241813333333333,0.700481480655258,0.58200738826668,0.188163333333333,0.884684780104851,0.690003315913038,0.272373333333333,0.605650791972908,0.444650711167512
54.5,0.154063333333333,1.01916072982645,0.856183125284779,0.247423333333333,0.682620516112285,0.564285219699837,0.195,0.859617364241912,0.666373508725543,0.278343333333333,0.587770024460219,0.427334487954312
55.5,0.160013333333333,0.994403085319583,0.832798418702846,0.252803333333333,0.665694066803966,0.546910229989369,0.201816666666667,0.835149865489327,0.643306536455412,0.284333333333333,0.570016264650879,0.410380100346271
56.5,0.16572,0.971217462140038,0.809895252041367,0.258413333333333,0.648244743593717,0.529869796512175,0.208826666666667,0.810499184879762,0.620779598850428,0.290363333333333,0.552323596500393,0.393774075701528
57.5,0.171636666666667,0.947717413977456,0.787455803668245,0.263696666666667,0.631990119855584,0.513151968750747,0.215546666666667,0.787322104089414,0.598771215169706,0.29612,0.535592808549602,0.377503665893428
58.5,0.177403333333333,0.925306176847137,0.76546321064143,0.269276666666667,0.615002100371509,0.496745421543801,0.222216666666667,0.764728329165651,0.577261124557181,0.301623333333333,0.519737327110065,0.361556796570721
59.5,0.183363333333333,0.902621773320889,0.743901501566198,0.274743333333333,0.598529521733911,0.480639412323009,0.22886,0.742606420862612,0.556230195626183,0.307213333333333,0.503764799184639,0.345922020772829
60.5,0.189023333333333,0.881501085650672,0.722755533894219,0.280083333333333,0.582593968518814,0.46482374193558,0.2355,0.720852939244133,0.535660344262301,0.31279,0.487957422157789,0.33058847645994
61.5,0.194733333333333,0.860584970253214,0.70201094019406,0.28542,0.566814821017019,0.449288718698349,0.2422,0.699243291489631,0.515534458771692,0.318196666666667,0.472747500556097,0.315545847568503
62.5,0.20065,0.839301752596442,0.681654076501806,0.290746666666667,0.551204736767591,0.43402512536934,0.24899,0.677671500957529,0.495836330589295,0.323483333333333,0.457980199685203,0.30078432824719
63.5,0.20655,0.818450492824383,0.661671975287935,0.29596,0.536055780371347,0.419024188757621,0.255693333333333,0.656680047165126,0.476550596318417,0.328726666666667,0.443431945909233,0.28629458996709
64.5,0.21244,0.797983612498902,0.642052302125311,0.301023333333333,0.521459564701264,0.404277551722998,0.26232,0.636209318950408,0.457662673404772,0.33381,0.429416703669255,0.272067751233592
65.5,0.218263333333333,0.778071833302611,0.622783315717374,0.305993333333333,0.507239665541996,0.389777247343866,0.26865,0.616901041221574,0.439158713200672,0.338883333333333,0.41551263630972,0.258095349657304
66.5,0.22409,0.758452731878418,0.60385383098157,0.311266666666667,0.492263140905282,0.375515675055224,0.275003333333333,0.597750136218868,0.421025551439948,0.344333333333333,0.40066515753462,0.244369316167073
67.5,0.230073333333333,0.738605363083418,0.585253184914926,0.316276666666667,0.478136108636266,0.361485578579466,0.281146666666667,0.579438498792542,0.403250664123311,0.34932,0.387156975150057,0.230881951171244
68.5,0.235656666666667,0.720343816082372,0.566971204996571,0.321493333333333,0.463526999333422,0.347680025491085,0.287613333333333,0.560370620716514,0.385822126915172,0.354563333333333,0.373029260226758,0.217625902493379
69.5,0.241753333333333,0.700673709695624,0.548998179088922,0.3264,0.449875797192799,0.334092388272398,0.293793333333333,0.54233657085118,0.368728577721312,0.359466666666667,0.359884734506289,0.204594144733136
