Model_case,Pf_MCS,Beta_MCS,Pf_FORM,Beta_FORM
fib Bulletin 34 - Case I,0.0819766666666667,1.39189784893881,0.112296572890551,1.21440489848842
fib Bulletin 34 - Case II,0.17122,0.949355175457511,0.203966487193055,0.827536620930027
Malami - Case I,0.106196666666667,1.24701135702036,0.151938114212345,1.02815647540388
Malami - Case II,0.197026666666667,0.852289678411413,0.246086553823805,0.686856585219577
