Model,Parameter,FitType,Mean,Std,CoV,Median,P2p5,P97p5,MinSample,MaxSample,Nsamples
fib,tc,Empirical_KDE,1.82923802357816,0.577808625741512,0.315873942206419,1.74584846341251,1.025124590379,2.94554469484717,0.99970114737078,3.00109104890885,100000
fib,pSR,Empirical_KDE,0.135587588345341,0.0584053400787135,0.430757274994489,0.130099076283158,0.0494454276587783,0.240357489266006,0.0450718991010925,0.247122357646499,100000
malami,tc,Empirical_KDE,1.89994798043518,0.564921738069169,0.297335371224098,1.85405105493565,1.0402538826988,2.9167602290501,1.00094323371284,2.99913376661656,100000
malami,pSR,Empirical_KDE,0.133727734271521,0.0575974834935832,0.430707091594306,0.128238518474535,0.0479638776836655,0.237421466251863,0.0448803208459821,0.246734767567624,100000
