ObsID,Measured_xc_mm,fib_mean_xc42,fib_std_xc42,malami_mean_xc42,malami_std_xc42,fib_acceptance,malami_acceptance
1,26,23.666252019813,2.50733282450621,23.7329707657661,2.51021879413698,0.8955,0.901875
2,19.1,16.8926737537053,2.26194868078832,18.2166972366641,2.44638697578057,0.8998125,0.9056875
3,19.8,17.9740099274949,2.36815845503527,18.0511183149659,2.32198662015356,0.901875,0.904375
4,9,9.03069673888433,1.78762617551946,8.59339380865777,2.41190561978512,0.91525,0.91825
5,5.7,6.62443533489401,2.02977577275291,6.58865684740724,2.35719554118531,0.9156875,0.922875
6,18.2,16.4195184004752,2.29616710248321,17.1713689314671,2.37677826559529,0.9088125,0.910375
7,22.6,20.2028903310773,2.37391851925799,20.3438794336978,2.31962378901946,0.9008125,0.904375
8,18.6,16.078286340253,2.16582094334756,16.986755576483,2.61310850799865,0.9050625,0.9049375
9,16.1,14.817822127102,2.26842349712297,15.0537322775922,2.1951192513359,0.9118125,0.9081875
10,17,15.3934189488933,2.16933489237473,15.8794904810967,2.18887609628986,0.9003125,0.91175
11,14.2,12.8046321026598,2.28483095847114,12.6512997274065,2.27015686986466,0.90475,0.9109375
12,11,10.3867282716602,1.98718070342668,10.3682313773175,2.4641298191595,0.9118125,0.91325
13,16.4,14.8208120128633,2.36887244114238,15.3098917754856,2.34068799375948,0.907,0.9126875
14,11,10.2219368138039,2.1001863761893,10.9187105351274,2.0885900048379,0.9146875,0.9184375
15,13.7,12.0972492873271,2.39503214830564,12.8357626827945,2.27259801181463,0.9094375,0.9089375
16,12.2,10.8467331084046,1.80724032825933,11.5752855758336,2.17705805692103,0.916875,0.9141875
17,13.9,12.5967394479494,2.27516713620961,12.9244119081041,2.37353597799348,0.91025,0.9133125
18,12.9,11.8606215081286,1.98544401977951,12.0492036894912,2.01119928733662,0.9150625,0.9205625
19,6.1,7.47381300745294,1.81678542200234,6.51803494593173,1.86348167519936,0.918125,0.9158125
20,15.6,14.272415562615,2.20338449544978,14.1994671880903,2.15681020958586,0.9078125,0.9150625
21,13.3,11.567876192716,2.24876027593005,12.2570927417915,2.50213609752943,0.910375,0.90975
22,12.6,11.645154904947,2.12364799533329,12.3680328356405,2.12002032147165,0.909375,0.912125
23,5,6.63477718115756,1.72133245534247,5.98783714603826,1.92407830542549,0.91275,0.9244375
24,21.2,18.6957125383278,2.34823796004317,19.0043878311441,2.31921859335051,0.8989375,0.902625
25,17.3,15.1999293010058,2.56169332670702,16.1432456479866,2.17139984311983,0.90675,0.90825
26,15.7,14.4959246368036,2.42559912575767,14.959696792872,2.18355561624132,0.9031875,0.9115
27,15.1,13.8012083735419,2.10963387252135,13.9941687015474,2.08806792817278,0.9125,0.9170625
28,12.6,12.1450081139239,2.00792235465457,12.3018013557314,2.20462313536399,0.914375,0.917625
29,24.4,22.2488652582358,2.28522225830632,22.3537636006153,2.25129751067076,0.887875,0.90025
30,26.5,24.505527765335,2.3757736856073,23.8650153602247,2.35207389845357,0.8914375,0.9015
31,15.4,13.6297334280574,2.15407450766124,13.9861550657587,2.2911030744008,0.908375,0.9106875
32,13,10.9075901244679,2.42199072079258,12.5156935217541,2.11582956804359,0.9039375,0.91675
33,14.2,13.1790075218188,2.09022981466197,13.0991007501557,2.2176295459913,0.9073125,0.9169375
34,21.5,19.1065180927076,2.783042572523,19.4211451118045,2.4387992958998,0.8965625,0.901125
35,18.9,16.5780047887727,2.68198575112602,17.2882333385478,2.28328898947299,0.9001875,0.9131875
36,15.5,13.8541081837704,2.14356887627074,14.5345573530277,2.26476766290561,0.90975,0.91175
37,11.2,10.3332677505658,2.10967659616358,10.8536339618864,2.3957407782075,0.91375,0.914125
38,21.5,18.4956843219142,2.46752995945021,19.2902098355714,2.34627437893409,0.900125,0.90875
39,11.5,10.0115091979576,2.27848267612755,10.6208103142381,2.23094511537054,0.91675,0.9193125
40,21.2,18.8594570037209,2.27445741300654,19.3522724958863,2.13925425126435,0.8998125,0.9064375
41,9.9,9.97075692667958,2.02019640962051,9.56379217694404,2.0562362270061,0.91375,0.9225
42,22.1,20.2369610086526,2.42160945992963,19.9755299168238,2.38891485957175,0.896625,0.8994375
43,6.2,7.00871670628138,1.87841325391146,7.00265397759822,1.85860373902109,0.90975,0.9144375
44,7.3,7.72882162516814,1.89535229079107,7.75214191557347,2.39804393841935,0.917375,0.9146875
45,10.9,10.4065212077268,1.92735666655376,10.830450032387,2.32876417314926,0.9123125,0.9145625
46,8.6,9.27960924095398,1.87200067299162,8.88623943275179,2.0300941028291,0.9130625,0.9185625
47,14.1,12.7094073953631,2.3062218330593,13.2335092613558,2.13204937593611,0.9056875,0.9169375
48,7,7.86186381045602,1.71379358354696,7.16413300718671,2.1870421676598,0.913625,0.9235625
49,12,10.9323276537326,2.09482579001033,11.5947604250722,2.18388411970409,0.914,0.9125625
50,14.4,13.0276030876707,2.3830864471066,13.9001256053382,2.1378196554758,0.906875,0.910625
