Model,Parameter,BestPDF,Mean,Std,CoV,Median,P2p5,P97p5,AIC_Normal,AIC_Lognormal
fib,Racc_inv,Lognormal,1.1772410248045e-10,5.07234509927837e-11,0.430867170987411,1.0797458342793e-10,4.74771566355894e-11,2.42992308853298e-10,-4457135.8469662,-4481295.93068292
fib,kt,Lognormal,1.32482176670049,0.29839194450777,0.225231764761024,1.29424973198259,0.829341609975127,1.99760416415788,41921.2253140718,35323.0571235371
fib,eps_t,Normal,9.96696281070623e-12,1.51713895386136e-12,0.152216776833128,9.96314641622181e-12,6.96278858706813e-12,1.28846039715327e-11,-5159048.25775062,-5154554.82871735
fib,tc,Lognormal,1.82923802357816,0.577808625741512,0.315873942206419,1.74584846341251,1.025124590379,2.94554469484717,174088.194147413,166140.585849399
fib,bc,Normal,-0.569024494287962,0.0238484259191087,0.0419110708915106,-0.569116566530843,-0.614979996304832,-0.522931613155274,-463416.705963991,NaN
fib,CO2ppm,Lognormal,392.093338037291,3.41216904702665,0.00870244076093464,392.0448896496,385.447776917337,398.759607475866,529260.341291269,529259.725197253
fib,RH,Normal,75.3840901214864,2.62049380335501,0.0347618947065874,75.3757469021488,70.16783727808,80.5775681960419,476463.261556312,476731.92274459
fib,tw,Normal,0.155059530069754,0.0183165633038169,0.118126008092357,0.155290696127341,0.118522557974713,0.190710232643292,-516199.199343117,-513600.58311852
fib,bw,Normal,0.518332600236548,0.149051660760687,0.287559880842273,0.515909723353025,0.231822441442428,0.816850366095052,-96901.7566819215,NaN
fib,pSR,Lognormal,0.135587588345341,0.0584053400787135,0.430757274994489,0.130099076283158,0.0494454276587783,0.240357489266006,-284278.884083928,-285995.471331691
fib,theta_xc,Normal,1.08656056280062,0.19117472420385,0.175944839845001,1.08804511332128,0.710126927379128,1.46653787731429,-47122.789897066,-41122.0669092546
fib,xc42,Lognormal,13.5929313999758,4.87846851908052,0.358897457474788,13.0204240119719,5.51327215540259,24.3495564547605,600756.975151626,599195.09317704
fib,A,Lognormal,2.53154951323285,0.640074075178857,0.252838852976439,2.47015289303065,1.4614074965358,3.96175354299954,194556.433269115,189140.053670296
fib,n,Lognormal,0.077479141237459,0.0502460200420097,0.648510285988007,0.0661018591172282,0.0162877027838996,0.205311923842839,-314374.08102382,-355008.072313187
