Model,Parameter,BestPDF,Mean,Std,CoV,Median,P2p5,P97p5,AIC_Normal,AIC_Lognormal
malami,W_C,Normal,0.56792242088887,0.052871050859089,0.0930955512838164,0.568670939567552,0.462286167893799,0.669204633641458,-304189.159888902,-302436.283782464
malami,tc,Lognormal,1.89994798043518,0.564921738069169,0.297335371224098,1.85405105493565,1.0402538826988,2.9167602290501,169577.091816584,167557.49324643
malami,bc,Normal,-0.567731448728841,0.0235843225846812,0.0415413354984771,-0.567595622156808,-0.613801649786437,-0.521798273918354,-465643.910349672,NaN
malami,CO2ppm,Lognormal,392.260151765698,3.45126021542132,0.00879839616613111,392.222844423272,385.617840920416,399.029660606094,531538.595476355,531531.706997843
malami,RH,Normal,75.2772918763877,2.62412398348452,0.0348594365986701,75.2702575472181,70.0949810646409,80.4020557352798,476740.130594766,476968.96955615
malami,tw,Normal,0.15398703914108,0.0183331969294166,0.119056753293503,0.154071249455929,0.117935822158551,0.189851706418036,-516017.657890884,-513792.392536235
malami,bw,Normal,0.523811852840022,0.142011579450086,0.27111180986097,0.519894189575972,0.253365442965645,0.816335137632985,-106578.629215542,-95980.2004653037
malami,pSR,Lognormal,0.133727734271521,0.0575974834935832,0.430707091594306,0.128238518474535,0.0479638776836655,0.237421466251863,-287064.573675508,-288725.001571873
malami,T,Lognormal,283.198264188981,0.533638159686274,0.00188432708517653,283.19271565885,282.151275545557,284.266572832605,158183.251984381,158176.241938639
malami,theta_xc,Normal,1.07258888518748,0.193504363819942,0.18040869758418,1.07063817931848,0.700268652223657,1.45669998497913,-44700.336304176,-39835.8827340563
malami,phi_cl,Lognormal,0.975000000000015,1.54321772033686e-14,1.58278740547368e-14,0.975,0.975,0.975,-6076673.62066338,-6882889.31851184
malami,CaO,Lognormal,0.679999999999991,8.88182860625531e-15,1.3061512656258e-14,0.68,0.68,0.68,-6187163.08035482,-6305823.4494726
malami,xc42,Normal,13.8805864433701,4.99062591603931,0.35953999035992,13.5691934936268,4.90356994760058,24.2322891998796,605302.973835584,615896.881687217
malami,A,Lognormal,0.213724471780026,0.0564346208451404,0.264053153928134,0.207109732100734,0.125732504875762,0.340539041477124,-291143.786165419,-305892.157790262
malami,n,Lognormal,0.0738771170003929,0.0450768754473328,0.610160185962497,0.0638023069018757,0.0165909474562944,0.190253855798386,-336086.474058336,-369412.258999702
