ObsID,Measured_xc_mm,fib_mean_xc42,fib_std_xc42,malami_mean_xc42,malami_std_xc42,fib_acceptance,malami_acceptance
1,26,25.5705891992012,1.00781102821911,25.5953636371131,1.01302790652369,0.7986875,0.8204375
2,19.1,18.6854123154091,0.937447147252955,18.8785445443363,0.972302859828119,0.8305625,0.8379375
3,19.8,19.4488912365518,1.00349606171111,19.481016663932,0.995209610528565,0.826375,0.83225
4,9,8.92087430891986,0.953253316714323,8.91038004020985,1.02784647762855,0.885,0.8756875
5,5.7,5.91581687880915,1.02686562758921,5.8800919497387,1.00416481446661,0.8934375,0.8854375
6,18.2,17.9024045748813,0.993158629470369,17.9629732304355,0.990916249633418,0.840875,0.84625
7,22.6,22.1624008974527,0.961777394193285,22.2145397211765,0.980306813411677,0.8173125,0.82525
8,18.6,18.1295316583509,0.972014822388193,18.3275801209709,1.03323176098197,0.8376875,0.8325625
9,16.1,15.8623561208829,1.00507834614379,15.8575075052633,0.959550430291307,0.8561875,0.8458125
10,17,16.6822757430978,1.00748659565517,16.7947442605746,0.950312733840127,0.8406875,0.847625
11,14.2,13.8668716331362,0.968854051256971,13.8963018402771,0.976807103956811,0.85925,0.8526875
12,11,10.8478862818068,0.901948096648281,10.8663232831821,0.967013823733482,0.8760625,0.869875
13,16.4,16.0817833288908,0.957210327238301,16.1941842753298,0.986777954516943,0.8455,0.849125
14,11,10.8298638378615,0.992481234531113,10.9526113631995,0.962920932423568,0.87125,0.8656875
15,13.7,13.3508667323985,1.03688435984039,13.5098178032153,0.979312634213107,0.86525,0.8541875
16,12.2,11.9033352403702,0.920682751916472,12.0424452283553,0.948877792288231,0.8775625,0.8584375
17,13.9,13.6414409963025,0.984036493668001,13.6722234832359,0.983488314571757,0.8620625,0.8535625
18,12.9,12.6666718915849,0.920976666375846,12.7043837340106,0.955164122532476,0.8693125,0.8641875
19,6.1,6.46863712682833,0.952338588109473,6.15502161480262,0.942504268910056,0.897625,0.885
20,15.6,15.3637365524137,0.986942449752309,15.3377334490997,0.960807762684083,0.85825,0.8528125
21,13.3,12.8961824637185,1.00007784327882,13.0855832063288,1.02109457129677,0.8663125,0.856
22,12.6,12.371506901616,0.9991146828602,12.5476309430814,0.94605703676178,0.8668125,0.8564375
23,5,5.41508382165904,0.920208596837109,5.20646582637028,0.988114545696268,0.8944375,0.8931875
24,21.2,20.7340230977671,0.99999061017953,20.7553707550305,0.990718305423763,0.8241875,0.8353125
25,17.3,16.9268187075202,1.02696381436125,17.0561626233024,0.957932534622046,0.8400625,0.8441875
26,15.7,15.4970150559297,1.02304309101949,15.5556294070762,1.00225448137434,0.8425,0.8483125
27,15.1,14.8321583682562,0.962294994868943,14.8846980668309,0.964348798250655,0.8573125,0.851875
28,12.6,12.4976645553687,0.96133020478798,12.5457075827013,0.958611707163699,0.8741875,0.86425
29,24.4,23.9949147881733,0.966197394031292,24.0248811340162,0.997078499365607,0.80475,0.81975
30,26.5,26.1437663417384,0.991436044697728,26.0258401043632,0.981796761059476,0.8009375,0.8163125
31,15.4,15.0229414277933,0.997458187324239,15.1333908088055,0.9825778703262,0.853375,0.8521875
32,13,12.5700751509767,0.984069897096327,12.8899919822008,0.953878167312693,0.85925,0.86725
33,14.2,13.9471466533858,0.941408450377474,14.0273338133414,0.977070687748005,0.8555,0.8585
34,21.5,21.0919141994866,1.02321186803038,21.0972704965377,1.00338719693657,0.82375,0.827625
35,18.9,18.501621116417,1.00796975620292,18.5990986688208,0.963780849148719,0.830625,0.8433125
36,15.5,15.1743360124906,0.950352732553437,15.296694978085,0.937058941349025,0.8575,0.8559375
37,11.2,10.9880383227206,0.948365023837933,11.094162397379,1.02496677707715,0.878375,0.859875
38,21.5,20.9887892620708,0.98691610844408,21.0717983182116,0.960946555795163,0.819875,0.83475
39,11.5,11.2185932169285,1.0965718542935,11.3044623112267,0.972924674026054,0.8730625,0.8635
40,21.2,20.7840623818561,0.998959611873353,20.8537165685325,0.959536210713652,0.8236875,0.8301875
41,9.9,9.89481480282297,0.982172899443518,9.80850252504365,0.912114814405361,0.8765,0.87625
42,22.1,21.7324776830294,1.00475895264803,21.711637484197,0.989736243616586,0.818125,0.8255
43,6.2,6.41617788098525,0.885926264599212,6.30946197606801,0.934866229815873,0.8923125,0.880625
44,7.3,7.40912032554056,0.92272046560946,7.35514491481779,0.999776724527672,0.8923125,0.878375
45,10.9,10.724981609362,0.957003473783429,10.8690089956746,1.00355234496274,0.875625,0.862
46,8.6,8.75908513942599,0.946426302326703,8.63682508461453,0.966707289327012,0.88925,0.8786875
47,14.1,13.7721868243511,0.945628700323543,13.9190606404988,0.964082662291169,0.8583125,0.8660625
48,7,7.12845543947844,0.957205210631409,7.00718021802513,0.998380185217629,0.889125,0.885375
49,12,11.7529591592524,0.976958822736413,11.9018180707339,1.00349825377374,0.86675,0.8555625
50,14.4,14.1016644370244,1.04636081402297,14.2640453604824,0.956449708248821,0.8593125,0.8506875
