Row,Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,xc42,A,n
Racc_inv,1,0.0264613455627317,0.00564295917651663,-0.0903268202397021,-0.0245724284366747,-0.00483669632432796,-0.00218237012891037,-0.0250388118214534,0.00492467198286076,-0.0141039278576592,0.0187614599101853,0.566319313187966,0.782540284031689,-0.00766473375694693
kt,0.0264613455627317,1,-0.00254031944417018,-0.0129157219933763,-0.0338065541132027,-0.00569618678321396,-0.0231087403618283,0.0348415483024142,0.0274786260622935,-0.0563603714898354,0.0602923126073128,0.323025524526126,0.409536128010874,-0.0418220160351687
eps_t,0.00564295917651663,-0.00254031944417018,1,0.010723834755461,-0.0111217917271168,0.0387180092002901,0.0508439232730914,0.0336192108698559,-0.0100619461666668,0.034958594598738,0.0200149073177147,-0.00405005428863325,-0.00389159519263739,0.0238482103637983
tc,-0.0903268202397021,-0.0129157219933763,0.010723834755461,1,0.0108141833368821,-0.0355194256227261,0.00449653375807792,-0.00132185772654027,-0.114221366574977,0.0067569158658521,-0.104296694951312,-0.38872792300654,-0.425635872525481,0.109067566138385
bc,-0.0245724284366747,-0.0338065541132027,-0.0111217917271168,0.0108141833368821,1,0.0206414546285414,0.000680484657632089,0.0081970546290762,-0.00351973441255618,-0.0193112617714683,-0.00815802277284029,-0.0715481985036431,-0.101111700405817,-0.0106389806842525
CO2ppm,-0.00483669632432796,-0.00569618678321396,0.0387180092002901,-0.0355194256227261,0.0206414546285414,1,-0.00516198582126051,-0.00987284004549988,0.0509322918738443,0.00937500852672206,-0.0181029401758074,0.0241161046990091,0.0282014268373818,-0.0403009325047205
RH,-0.00218237012891037,-0.0231087403618283,0.0508439232730914,0.00449653375807792,0.000680484657632089,-0.00516198582126051,1,-0.0238940067151228,0.00345832674908204,0.083070440558276,-0.080811543590878,-0.227076719580641,-0.261587999160818,0.0311344291421473
tw,-0.0250388118214534,0.0348415483024142,0.0336192108698559,-0.00132185772654027,0.0081970546290762,-0.00987284004549988,-0.0238940067151228,1,0.045472403900558,-0.0715950556104478,-0.00887946744891648,-0.00153329589309342,0.00377931695643016,0.0229226609420056
bw,0.00492467198286076,0.0274786260622935,-0.0100619461666668,-0.114221366574977,-0.00351973441255618,0.0509322918738443,0.00345832674908204,0.045472403900558,1,-0.0053508388937234,0.0286058313850143,0.402847541632621,0.052018695279129,-0.91055469340239
pSR,-0.0141039278576592,-0.0563603714898354,0.034958594598738,0.0067569158658521,-0.0193112617714683,0.00937500852672206,0.083070440558276,-0.0715950556104478,-0.0053508388937234,1,-0.0122467063560374,-0.176816359213528,-0.0583639076992879,0.372904460695109
theta_xc,0.0187614599101853,0.0602923126073128,0.0200149073177147,-0.104296694951312,-0.00815802277284029,-0.0181029401758074,-0.080811543590878,-0.00887946744891648,0.0286058313850143,-0.0122467063560374,1,0.520361889288323,0.0917757799108351,-0.0302388259620617
xc42,0.566319313187966,0.323025524526126,-0.00405005428863325,-0.38872792300654,-0.0715481985036431,0.0241161046990091,-0.227076719580641,-0.00153329589309342,0.402847541632621,-0.176816359213528,0.520361889288323,1,0.765389416650481,-0.439922055612099
A,0.782540284031689,0.409536128010874,-0.00389159519263739,-0.425635872525481,-0.101111700405817,0.0282014268373818,-0.261587999160818,0.00377931695643016,0.052018695279129,-0.0583639076992879,0.0917757799108351,0.765389416650481,1,-0.0655938759321233
n,-0.00766473375694693,-0.0418220160351687,0.0238482103637983,0.109067566138385,-0.0106389806842525,-0.0403009325047205,0.0311344291421473,0.0229226609420056,-0.91055469340239,0.372904460695109,-0.0302388259620617,-0.439922055612099,-0.0655938759321233,1
