Row,W_C,tc,bc,CO2ppm,RH,tw,bw,pSR,T,theta_xc,phi_cl,CaO,xc42,A,n
W_C,1,0.064079403482205,-0.0519492491028389,-0.0597088761529563,-0.0082486483931808,-0.00570991447475237,0.033891518848033,-0.042748441268536,0.0663243363592853,0.0451606596154373,-2.31490807221448e-15,2.31161226859015e-15,0.490528296585485,0.6337281937994,-0.0542275997707825
tc,0.064079403482205,1,-0.00216732852849774,0.045286832097922,0.00193010216567517,-0.0205922161069607,0.00237727125548283,0.0183122764309128,0.0385080992766671,0.0172435947070174,4.92396058670331e-16,-4.81469045563783e-16,-0.188043330520953,-0.30003444925178,0.00956094902788297
bc,-0.0519492491028389,-0.00216732852849774,1,0.0219221547260537,0.0401809751176483,-0.0403637234047377,-0.0244020955694983,0.00711499497413773,0.0245889798776244,-0.0397629878971576,-1.45890783295849e-15,1.40474791901054e-15,-0.105345693576467,-0.0981112059949887,0.0294245705409826
CO2ppm,-0.0597088761529563,0.045286832097922,0.0219221547260537,1,-0.00676785408889074,0.0179176755092289,-0.0400523519459892,0.0377677344920698,0.0313916127230973,-0.028257824808701,1.49689589960032e-14,-1.49489160909332e-14,-0.0752027360218686,-0.0064255960197139,0.0600526064347463
RH,-0.0082486483931808,0.00193010216567517,0.0401809751176483,-0.00676785408889074,1,-0.00551165591872348,-0.05177572637415,-0.00815589743474919,0.0392363551817122,0.000665920808126016,4.85508427282135e-15,-4.75720905641314e-15,-0.2055871751549,-0.270224937653769,0.0381755572662671
tw,-0.00570991447475237,-0.0205922161069607,-0.0403637234047377,0.0179176755092289,-0.00551165591872348,1,-0.001435327573311,-0.0101421825676913,0.0277300312888913,-0.0108171998654553,1.40676411715837e-15,-1.41742252536103e-15,-0.0594674241522891,0.0519098751099639,0.0829450780400371
bw,0.033891518848033,0.00237727125548283,-0.0244020955694983,-0.0400523519459892,-0.05177572637415,-0.001435327573311,1,0.0155805308999965,0.0276019430987919,0.0012162073639089,1.14107286418829e-16,-1.59615518351436e-16,0.573059137369848,-0.47646915589463,-0.861806540903016
pSR,-0.042748441268536,0.0183122764309128,0.00711499497413773,0.0377677344920698,-0.00815589743474919,-0.0101421825676913,0.0155805308999965,1,0.013357106051368,-0.0186337242532994,-2.25990702104478e-16,2.55326783403776e-16,-0.266165471726485,0.175638171407454,0.348984193638241
T,0.0663243363592853,0.0385080992766671,0.0245889798776244,0.0313916127230973,0.0392363551817122,0.0277300312888913,0.0276019430987919,0.013357106051368,1,-0.00121368009092816,6.80510145168459e-14,-6.80238719149009e-14,0.051428360833633,0.0292583713218451,-0.0339996013861948
theta_xc,0.0451606596154373,0.0172435947070174,-0.0397629878971576,-0.028257824808701,0.000665920808126016,-0.0108171998654553,0.0012162073639089,-0.0186337242532994,-0.00121368009092816,1,-1.09907267542338e-15,1.11396824547037e-15,0.515559151552682,0.00204785430785976,-0.0300941783823843
phi_cl,-2.31490807221448e-15,4.92396058670331e-16,-1.45890783295849e-15,1.49689589960032e-14,4.85508427282135e-15,1.40676411715837e-15,1.14107286418829e-16,-2.25990702104478e-16,6.80510145168459e-14,-1.09907267542338e-15,1,-1,2.62736434389393e-16,3.14148943625129e-17,7.02350374735995e-16
CaO,2.31161226859015e-15,-4.81469045563783e-16,1.40474791901054e-15,-1.49489160909332e-14,-4.75720905641314e-15,-1.41742252536103e-15,-1.59615518351436e-16,2.55326783403776e-16,-6.80238719149009e-14,1.11396824547037e-15,-1,1,-2.42437016297233e-16,-5.70890675669383e-17,-6.25831839552042e-16
xc42,0.490528296585485,-0.188043330520953,-0.105345693576467,-0.0752027360218686,-0.2055871751549,-0.059467424152289,0.573059137369848,-0.266165471726485,0.051428360833633,0.515559151552682,2.62736434389393e-16,-2.42437016297233e-16,1,0.0598557108673089,-0.657139833364072
A,0.6337281937994,-0.30003444925178,-0.0981112059949887,-0.0064255960197139,-0.270224937653769,0.0519098751099639,-0.476469155894631,0.175638171407454,0.029258371321845,0.00204785430785976,3.14148943625129e-17,-5.70890675669383e-17,0.0598557108673088,1,0.561814679916058
n,-0.0542275997707825,0.00956094902788297,0.0294245705409825,0.0600526064347464,0.0381755572662671,0.0829450780400371,-0.861806540903016,0.348984193638241,-0.0339996013861948,-0.0300941783823843,7.02350374735995e-16,-6.25831839552042e-16,-0.657139833364073,0.561814679916058,1
